month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2011-11	1.64	24.57	
2011-12	1.59	27.43	
2012-01	1.46	-27.26	
2012-02	1.53	-26.47	
2012-03	1.6	27.6	
2012-04	1.64	45.22	
2012-05	1.61	54.59	
2012-06	1.65	72.63	
2012-07	1.77	89.2	
2012-08	1.69	73.76	
2012-09	1.66	56.65	
2012-10	1.73	70.14	
2012-11	1.71	67.25	
2012-12	1.55	-3.95	
2013-01	1.66	5.31	
2013-02	1.73	40.77	
2013-03	1.83	68.92	
2013-04	1.8	68.8	
2013-05	1.91	90.99	
2013-06	1.78	69.54	
2013-07	1.82	65.06	
2013-08	2.02	88.88	
2013-09	2.33	98.4	
2013-10	2.34	91.07	
2013-11	2.07	69.05	
2013-12	2.05	55.03	
2014-01	2.04	41.8	
2014-02	2.22	67.19	
2014-03	2.1	53.02	
2014-04	2.04	15.94	
2014-05	1.92	-23.53	
2014-06	1.9	-37.95	
2014-07	1.92	-48.37	
2014-08	2.18	1.95	
2014-09	2.33	39.84	
2014-10	2.24	43.55	
2014-11	2.35	62.59	
2014-12	2.56	85.64	
2015-01	2.8	96.25	
2015-02	2.92	98.15	
2015-03	3.08	98.54	
2015-04	3.1	93.96	
2015-05	3.1	90.27	
2015-06	3.93	95.41	
2015-07	3.77	88.66	
2015-08	3.58	78.15	
2015-09	3.24	43.66	
2015-10	3.26	32.25	
2015-11	3.3	23.34	
2015-12	3.45	28.73	
2016-01	3.09	3.88	
2016-02	2.79	-40.36	
2016-03	2.66	-57.65	
2016-04	2.79	-57.1	
2016-05	2.62	-82.19	
2016-06	2.72	-67.68	
2016-07	2.8	-47.49	
2016-08	2.8	-37.77	
2016-09	2.88	-15.09	
2016-10	2.78	-25.95	
2016-11	2.73	-46.47	
2016-12	2.64	-66.64	
2017-01	2.72	-58.78	
2017-02	2.82	-10.91	
2017-03	3.24	44.84	
2017-04	3.33	78.32	
2017-05	3.28	78.57	
2017-06	3.59	89.53	
2017-07	3.64	89.5	
2017-08	3.62	84.32	
2017-09	4.14	98.89	
2017-10	4.67	99.79	
2017-11	5.26	96.06	
2017-12	5.35	93.62	
2018-01	5.96	99.07	
2018-02	6.37	96.61	
2018-03	6.98	97.4	
2018-04	6.71	83.73	
2018-05	7.7	97.6	
2018-06	8.32	97.01	
2018-07	8.68	93.63	
2018-08	7.9	74.11	
2018-09	7.97	64.52	
2018-10	7.24	42.26	
2018-11	6.98	3.69	
2018-12	7.5	11.65	
2019-01	7.37	6.17	
2019-02	7.72	10.18	
2019-03	7.95	43.11	
2019-04	9.47	75.55	
2019-05	9.64	77.86	
2019-06	10.23	86.75	
2019-07	11.1	94.26	
2019-08	11.51	96.02	
2019-09	11.86	93.88	
2019-10	11.87	91.17	
2019-11	11.06	60.59	
2019-12	11.04	48.09	
2020-01	11.34	59.32	
2020-02	10.21	3.44	
2020-03	9.75	-21.71	
2020-04	10.25	-23.13	
2020-05	11.55	22.22	
2020-06	15.04	57.81	
2020-07	25.22	96.39	
2020-08	26.93	90.94	
2020-09	27.42	93.34	
2020-10	25.51	76.17	
2020-11	24.35	61.31	
2020-12	28.81	76.32	
2021-01	37.05	96.07	
2021-02	43.6	97.74	
2021-03	39.02	84.74	
2021-04	38.5	78.61	
2021-05	40.54	81.55	
2021-06	38.95	73.89	
2021-07	35.29	35.88	
2021-08	31.62	-4.79	
2021-09	31.43	-21.34	
2021-10	33.99	-12.05	
2021-11	28.72	-43.95	
2021-12	27.8	-53.22	
2022-01	26.08	-72.89	
2022-02	27.64	-66.74	
2022-03	22.78	-90.3	
2022-04	22.42	-84.45	
2022-05	21.75	-90.74	
2022-06	24.84	-64.07	
2022-07	27.37	-26.02	
2022-08	25.19	-31.87	
2022-09	24.51	-45.88	
2022-10	22.89	-60.05	
2022-11	24.24	-55.15	
2022-12	27.72	8.89	
2023-01	29.06	42.47	
2023-02	26.36	40.09	
2023-03	24.09	-6.64	
2023-04	22.36	-37.78	
2023-05	17.85	-60.76	
2023-06	15.49	-89.87	
2023-07	15.03	-93.79	
2023-08	15.24	-85.79	
2023-09	14.19	-95.76	
2023-10	12.33	-99.26	
2023-11	12.18	-93.42	
2023-12	10.53	-98.13	
2024-01	10.59	-88.03	
2024-02	10.92	-79.53	
2024-03	11.15	-69.43	
2024-04	10.05	-84.6	
2024-05	9.67	-90.85	
2024-06	8.99	-97.13	
2024-07	8.82	-90.95	
2024-08	8.43	-95.86	
2024-09	7.78	-96.01	
2024-10	9.35	-59.82	
2024-11	9.45	-39.03	
2024-12	9.34	-26.38	
2025-01	8.2	-59.58	
