month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2023-12	6.9	0.25	0.05	2.47	0.25	17.22	
2024-01	7.51	0.28	0.14	14.98	0.4	32.22	
2024-02	8.58	0.31	0.31	56.19	0.55	69.64	
2024-03	9.05	0.33	0.38	74.83	0.65	80.1	
2024-04	10.41	0.38	0.58	95.85	0.81	89.38	
2024-05	10.09	0.37	0.52	87.41	0.76	82.9	
2024-06	9.93	0.37	0.5	78.71	0.76	78.57	
2024-07	10.02	0.38	0.5	81.75	0.81	80.47	
2024-08	8.86	0.33	0.33	37.05	0.57	42.57	
2024-09	8.2	0.31	0.23	3.24	0.48	11.51	
2024-10	8.49	0.33	0.27	-11.16	0.57	12.55	
2024-11	8.12	0.31	0.21	-33.8	0.48	-16.16	
2024-12	8.53	0.33	0.27	-21.31	0.5	-3.08	
2025-01	8.7	0.34	0.29	-5.85	0.55	11.11	
2025-02	8.15	0.31	0.21	-27.68	0.41	-9.82	
