month	ct_avg_Tdx收盘价	人均持股
2008-05	35.05	0	
2008-06	33.5	7737	
2008-09	18.65	7094	
2008-12	22.32	7461	
2009-03	28.26	5897	
2009-06	21.47	14425	
2009-09	34.1	7957	
2009-12	35.45	5308	
2010-03	36.53	8884	
2010-06	39.8	12744	
2010-09	52.3	17546	
2010-12	79.34	15898	
2011-03	49.55	7306	
2011-06	37.67	12152	
2011-09	34.1	11375	
2011-12	34.94	12187	
2012-03	39.52	12070	
2012-06	23.02	16358	
2012-09	28.39	16558	
2012-12	26.97	19301	
2013-03	34.09	19310	
2013-06	45.4	14046	
2013-09	47.37	8628	
2013-12	47.07	10209	
2014-03	47.19	10972	
2014-06	25.2	13226	
2014-09	28.44	13076	
2014-12	29.3	11959	
2015-03	45.47	12750	
2015-06	47.08	8831	
2015-09	27.38	9030	
2015-12	36.62	8418	
2016-03	27.32	7660	
2016-06	31.96	9263	
2016-09	29.27	9571	
2016-12	27.83	9135	
2017-02	29.9	9370	
2017-03	34.03	8773	
2017-06	32.93	7233	
2017-09	55.15	5391	
2017-12	61.8	5103	
2018-03	59.06	5068	
2018-06	34.26	6641	
2018-09	29.92	6490	
2018-12	24.4	6676	
2019-03	36.84	6750	
2019-06	30.45	7070	
2019-09	33.98	7222	
2019-12	33.34	7338	
2020-03	38.08	6397	
2020-06	34.73	6732	
2020-09	35.49	7083	
2020-12	38.59	8448	
2021-03	46.98	8581	
2021-06	61.99	10179	
2021-09	51.75	8668	
2021-12	52.64	8742	
2022-03	47.49	9423	
2022-06	39.68	8718	
2022-09	35.42	8644	
2022-12	33.27	8343	
2023-03	52.71	10196	
2023-06	70.47	9070	
2023-09	49.97	7073	
2023-12	47.16	6855	
2024-03	50.62	6826	
2024-06	42.61	6209	
2024-09	35.38	6078	
