month	ct_avg_前复权价格	人均持股
2010-08	1	0	
2010-09	0.9	981	
2010-12	0.71	1253	
2011-03	0.66	1317	
2011-06	0.54	1948	
2011-09	0.71	1902	
2011-12	0.56	2083	
2012-03	0.56	2023	
2012-06	0.59	2030	
2012-09	0.54	2144	
2012-12	0.47	2039	
2013-03	0.67	2493	
2013-06	0.71	2693	
2013-09	0.64	3376	
2013-12	0.56	3641	
2014-03	0.89	5178	
2014-06	0.79	5487	
2014-09	1.04	5194	
2014-12	0.84	4649	
2015-03	1.01	8914	
2015-06	1.45	8406	
2015-09	1.07	8758	
2015-12	2.7	4997	
2016-03	2.48	4503	
2016-06	3.07	4564	
2016-09	2.65	6894	
2016-12	2.46	7079	
2017-03	2.72	8311	
2017-04	3.32	8755	
2017-06	3.43	10070	
2017-07	4.29	10029	
2017-08	4.57	10036.5	
2017-09	5.1	8130	
2017-10	4.85	8025	
2017-11	4.83	7351	
2017-12	4.13	7595.67	
2018-01	4.15	8022	
2018-03	4.69	8874	
2018-04	4.19	8497	
2018-05	4.52	9183.5	
2018-06	4.1	8790.5	
2018-07	3.81	8204	
2018-08	3.1	8235.33	
2018-09	2.81	8057.33	
2018-10	2.35	7763	
2018-12	2.55	7364	
2019-02	2.58	7496.5	
2019-03	2.9	7691.5	
2019-04	2.74	7781	
2019-05	2.19	7487	
2019-06	2.04	7585.5	
2019-07	1.99	7596	
2019-08	1.86	7536	
2019-09	2	7503	
2019-10	2.04	7817.5	
2019-12	2.34	7914	
2020-01	3.01	7609	
2020-02	3.07	7588	
2020-03	2.53	7270.33	
2020-04	1.81	5665.67	
2020-05	1.65	5775.33	
2020-06	2.25	7079.33	
2020-07	2.47	8395.67	
2020-08	2.32	7563	
2020-09	1.97	7725	
2020-10	1.97	7567	
2020-11	2.26	9542.33	
2020-12	3.05	9531.5	
2021-01	5.42	7519	
2021-02	4.85	6403.5	
2021-03	3.77	6562	
2021-04	3.71	6341	
2021-05	4.88	6157	
2021-06	5.29	6765.33	
2021-07	7.38	7712.5	
2021-08	10.52	6589	
2021-09	10.67	5656	
2021-10	9.14	4898	
2021-11	9.8	5595	
2021-12	10.05	5952.33	
2022-01	8.48	4691.33	
2022-02	8.54	5080	
2022-03	8.07	4448.5	
2022-04	6.77	4658	
2022-05	8.28	5376.33	
2022-06	10.72	6818.67	
2022-07	11.99	6763.67	
2022-08	10.87	5700.33	
2022-09	10.19	1097950.67	
2022-10	9.09	5233	
2022-11	9.05	5048.33	
2022-12	7.97	895353.25	
2023-01	8.15	4791.67	
2023-02	8.24	4527.33	
2023-03	7.26	1246198.33	
2023-04	7.27	4200.33	
2023-05	7.15	4387.33	
2023-06	6.91	1192247.67	
2023-07	6.67	4331.5	
2023-08	6.03	4372.33	
2023-09	5.54	1786142.5	
2023-10	5.37	4434.33	
2023-11	5.2	4393	
2023-12	5.22	1192338.33	
2024-01	5.39	4617	
2024-02	4.54	4699	
2024-03	5	876614.75	
2024-04	4.56	4855.33	
2024-05	3.73	4781.67	
2024-06	3.3	1143033.67	
2024-07	2.92	5080.33	
2024-08	2.73	5161	
2024-09	2.75	1748392.5	
2024-10	3.55	4438.33	
2024-11	3.97	4713.33	
2024-12	3.63	4901	
2025-01	3.27	5074.67	
