month	ct_avg_Tdx收盘价	人均持股
1994-12	11.48	6769	
1995-12	8.09	85106	
1996-12	6.92	8369	
1997-12	6.03	10093	
1998-06	8.11	7967	
1998-12	7.43	7465	
1999-12	12.03	40892	
2000-12	21.3	37257	
2001-12	16.32	21354	
2002-06	18.03	13660	
2002-09	18.27	12207	
2002-12	14.98	11179	
2003-03	15.28	10729	
2003-06	13.48	10340	
2003-09	13.06	10729	
2003-12	11.37	9796	
2004-03	13.87	9385	
2004-06	11.94	9355	
2004-09	12.34	6079	
2004-12	12.41	0	
2005-03	12.21	0	
2005-06	9.65	0	
2005-09	10.89	0	
2005-12	10.76	0	
2006-03	11.05	0	
2006-06	12.62	6693	
2006-09	10.83	6677	
2006-12	11.59	7025	
2007-03	17.08	6878	
2007-06	26.39	7389	
2007-09	35.47	6343	
2007-12	30.35	4592	
2008-03	30.05	4870	
2008-06	19.22	5317	
2008-09	17.2	5466	
2008-12	14.99	5339	
2009-06	24.2	5485	
2009-09	23.97	5490	
2009-12	30.11	5630	
2010-03	31.53	5526	
2010-06	28.59	5622	
2010-09	27.85	5943	
2010-12	27.59	6013	
2011-03	25.84	5990	
2011-06	16.87	7643	
2011-09	14.62	7576	
2011-12	16.1	7018	
2012-03	16.92	7129	
2012-06	16.03	7237	
2012-09	14.67	7308	
2012-12	13.69	7313	
2013-03	14.17	7413	
2013-06	16.34	7430	
2013-09	26.26	7934	
2013-12	23.99	7870	
2014-03	30.13	16317	
2014-06	31	15810	
2014-12	35.19	17129	
2015-03	52.13	19980	
2015-06	80.34	15784	
2015-09	46.62	16925	
2015-12	62.7	15480	
2016-03	38	11966	
2016-06	18.86	12396	
2016-09	22.8	12066	
2016-12	18.94	18439	
2017-03	18.49	17788	
2017-06	16.2	17417	
2017-09	17.27	19104	
2017-12	17.66	19961	
2018-03	25.54	19172	
2018-06	24.21	20699	
2018-09	24.28	19367	
2018-12	21.38	12629	
2019-03	32.39	12852	
2019-06	33.68	16457	
2019-07	28.94	15931	
2019-08	31.01	15923	
2019-09	35.95	15978	
2019-12	34.07	15910	
2020-03	45.4	21927	
2020-06	55.66	15282	
2020-09	69.61	22393	
2020-12	63.77	15052	
2021-03	54.57	14700	
2021-06	53.99	18857	
2021-09	69.47	19303	
2021-12	62.12	20300	
2022-03	49.28	19475	
2022-06	54.38	19138	
2022-08	39.51	24549	
2022-09	39.4	24481	
2022-12	40.72	24372	
2023-03	53.75	24383	
2023-06	51.05	29152	
2023-09	45.8	29074	
2023-12	46.68	28404	
2024-01	44.38	28111	
2024-03	42.32	27654	
2024-06	35.69	32163	
2024-09	29.38	31812	
