month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2017-11	15.03	-0.06	
2017-12	14.43	-0.09	
2018-01	14.22	-0.1	
2018-02	13.46	-0.14	
2018-03	12.75	-0.18	
2018-04	12.38	-0.2	
2018-05	12.59	-0.18	
2018-06	11.36	-0.25	
2018-07	10.81	-0.28	
2018-08	10.74	-0.28	
2018-09	9.48	-0.36	
2018-10	8.9	-0.4	
2018-11	10.24	-0.3	
2018-12	9.47	-0.35	
2019-01	9.5	-0.35	
2019-02	11.51	-0.21	
2019-03	13.51	-0.07	
2019-04	13.26	-0.08	
2019-05	11.12	-0.23	
2019-06	10.87	-0.24	
2019-07	11.46	-0.2	
2019-08	10.74	-0.25	
2019-09	11.76	-0.18	
2019-10	11.5	-0.19	
2019-11	11.31	-0.21	
2019-12	12.13	-0.15	
2020-01	13.23	-0.07	
2020-02	12.03	-0.16	
2020-03	11.85	-0.17	
2020-04	11.06	-0.22	
2020-05	11.06	-0.22	
2020-06	12.01	-0.16	
2020-07	24.89	0.73	
2020-08	22.63	0.56	
2020-09	22.47	0.54	
2020-10	21.09	0.44	
2020-11	18.83	0.28	
2020-12	18.3	0.24	
2021-01	17.74	0.2	
2021-02	15.87	0.07	
2021-03	16.98	0.14	
2021-04	15.81	0.06	
2021-05	15.73	0.05	
2021-06	17.17	0.15	
2021-07	16	0.07	
2021-08	15.66	0.04	
2021-09	16.45	0.09	
2021-10	15.72	0.04	
2021-11	14.84	-0.02	
2021-12	14.98	-0.01	
2022-01	14.5	-0.05	
2022-02	13.9	-0.09	
2022-03	12.7	-0.17	
2022-04	12.1	-0.21	
2022-05	11.28	-0.27	
2022-06	15.55	0.01	
2022-07	15.14	-0.02	
2022-08	15.32	-0.02	
2022-09	14.69	-0.06	
2022-10	13.61	-0.13	
2022-11	15.32	-0.03	
2022-12	15.48	-0.02	
2023-01	15.64	-0.02	
2023-02	15.66	-0.02	
2023-03	15.31	-0.04	
2023-04	15.46	-0.03	
2023-05	16.36	0.04	
2023-06	16.01	0.02	
2023-07	16.74	0.07	
2023-08	17.98	0.16	
2023-09	16.93	0.11	
2023-10	16.3	0.08	
2023-11	16.73	0.11	
2023-12	15.59	0.04	
2024-01	15	0	
2024-02	16.26	0.08	
2024-03	16.71	0.12	
2024-04	15.85	0.07	
2024-05	16.34	0.1	
2024-06	15.57	0.05	
2024-07	14.38	-0.03	
2024-08	14.69	0	
2024-09	15.05	0.02	
2024-10	17.76	0.2	
2024-11	18.75	0.27	
2024-12	19.48	0.32	
2025-01	17.18	0.16	
