month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2015-07	8.97	1	0.56	91.03	0.82	90.8	
2015-08	7.12	0.79	0.24	53.1	0.44	53.02	
2015-09	6.1	0.68	0.08	6.12	0.24	6.07	
2015-10	6.32	0.71	0.12	-10.71	0.31	-9.66	
2015-11	7.35	0.82	0.31	9.78	0.52	11.14	
2015-12	7.48	0.84	0.34	27.99	0.56	27.79	
2016-01	6.19	0.69	0.12	-30.62	0.28	-30.85	
2016-02	5.59	0.63	0.02	-59.64	0.17	-60	
2016-03	5.91	0.66	0.09	-62.58	0.25	-63.2	
2016-04	5.98	0.67	0.11	-63.53	0.26	-63.71	
2016-05	5.63	0.63	0.05	-82.86	0.19	-81.97	
2016-06	5.63	0.63	0.06	-81.29	0.19	-81.29	
2016-07	5.92	0.67	0.12	-57.65	0.26	-59.14	
2016-08	6.26	0.72	0.19	-24.65	0.36	-12.42	
2016-09	6.04	0.7	0.14	-19.73	0.32	-5.53	
2016-10	6.05	0.7	0.15	-12.17	0.32	-0.28	
2016-11	6.42	0.74	0.21	15.67	0.4	31.45	
2016-12	6.68	0.77	0.26	46.27	0.43	51.5	
2017-01	6.82	0.79	0.28	61.06	0.46	65.77	
2017-02	6.94	0.8	0.3	75.2	0.48	77.53	
2017-03	6.74	0.78	0.26	64.83	0.42	66.42	
2017-04	6.39	0.74	0.18	32.49	0.35	37.6	
2017-05	5.99	0.69	0.11	-18.66	0.25	-12.14	
2017-06	6.16	0.71	0.13	-28.49	0.27	-23.34	
2017-07	6.6	0.77	0.21	0.21	0.38	6.63	
2017-08	6.47	0.77	0.18	18.01	0.35	43.52	
2017-09	6.42	0.77	0.17	14.33	0.35	51.19	
2017-10	6.35	0.76	0.16	-16.96	0.33	34.29	
2017-11	6.21	0.74	0.13	-51.95	0.3	-3.57	
2017-12	6.26	0.75	0.14	-49.62	0.32	3.15	
2018-01	6.92	0.83	0.26	11.04	0.43	39.53	
2018-02	7.22	0.86	0.31	63.87	0.48	74.52	
2018-03	6.65	0.79	0.2	61	0.36	64	
2018-04	6.4	0.76	0.16	20.29	0.31	25.5	
2018-05	6.61	0.79	0.2	43.38	0.34	44.24	
2018-06	6.24	0.75	0.14	-9.78	0.27	-4.69	
2018-07	5.97	0.74	0.09	-48.01	0.25	-37.26	
2018-08	5.88	0.73	0.07	-62.27	0.24	-53.1	
2018-09	5.86	0.73	0.07	-74.48	0.24	-62.03	
2018-10	5.8	0.73	0.06	-79.31	0.24	-66.67	
2018-11	5.75	0.72	0.05	-87.86	0.2	-69.81	
2018-12	5.54	0.69	0.01	-97.68	0.15	-87.9	
2019-01	5.49	0.68	0	-89.49	0.13	-85.59	
2019-02	5.92	0.74	0.08	-57.86	0.23	-53.81	
2019-03	6.43	0.8	0.17	-3.4	0.33	7.57	
2019-04	6.42	0.8	0.17	30.06	0.31	36.9	
2019-05	5.87	0.73	0.07	-4.46	0.2	6.38	
2019-06	5.94	0.74	0.08	-14.19	0.21	-0.19	
2019-07	5.92	0.75	0.07	-10.13	0.23	12.11	
2019-08	5.61	0.73	0.02	-51.46	0.18	-17.29	
2019-09	5.73	0.74	0.04	-51.79	0.19	-15.8	
2019-10	6.11	0.79	0.1	-8.23	0.27	40.62	
2019-11	6.15	0.8	0.11	26.45	0.27	63.95	
2019-12	6.08	0.79	0.09	29.63	0.25	67.94	
2020-01	6.05	0.79	0.08	40.62	0.25	67.08	
2020-02	5.57	0.73	0	-36.56	0.14	-0.18	
2020-03	5.36	0.7	-0.04	-75.89	0.09	-36.04	
2020-04	5.13	0.67	-0.09	-92.56	0.05	-67.52	
2020-05	5.08	0.66	-0.1	-93.65	0.03	-79.17	
2020-06	5.08	0.66	-0.1	-91.65	0.02	-78.57	
2020-07	5.46	0.73	-0.03	-54.85	0.12	-36.02	
2020-08	5.26	0.71	-0.07	-62.88	0.09	-31.46	
