month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2009-05	0.87	46.31	
2009-06	0.86	45.05	
2009-07	1.01	69.57	
2009-08	1.05	80.31	
2009-09	1.18	88.96	
2009-10	1.43	94.64	
2009-11	1.57	93.66	
2009-12	1.52	85.6	
2010-01	1.71	95.27	
2010-02	1.59	81.25	
2010-03	1.64	82.76	
2010-04	1.65	81.55	
2010-05	1.48	37.9	
2010-06	1.45	13.49	
2010-07	1.65	38.84	
2010-08	1.78	68.39	
2010-09	1.95	84.59	
2010-10	2.4	97.55	
2010-11	3	96.39	
2010-12	2.83	85.02	
2011-01	2.49	65.85	
2011-02	2.86	79.05	
2011-03	2.91	83.89	
2011-04	2.73	60.9	
2011-05	2.43	21.64	
2011-06	2.25	-6.93	
2011-07	2.29	-20.71	
2011-08	2.1	-43.79	
2011-09	2	-59.91	
2011-10	1.84	-77.68	
2011-11	1.88	-79.22	
2011-12	1.63	-92.04	
2012-01	1.67	-82.68	
2012-02	1.75	-71.47	
2012-03	1.71	-73.09	
2012-04	1.63	-85.29	
2012-05	1.68	-74.8	
2012-06	1.6	-85.76	
2012-07	1.33	-97.97	
2012-08	1.16	-98.06	
2012-09	1.15	-90.8	
2012-10	1.24	-74.5	
2012-11	1.29	-59.9	
2012-12	1.51	-21.09	
2013-01	1.5	-1.96	
2013-02	1.6	21.61	
2013-03	1.4	-3.49	
2013-04	1.38	-20.44	
2013-05	1.41	-10.43	
2013-06	1.23	-34.56	
2013-07	1.08	-66.77	
2013-08	1.16	-55.93	
2013-09	1.24	-43.84	
2013-10	1.24	-41.77	
2013-11	1.23	-53.02	
2013-12	1.24	-34.09	
2014-01	1.12	-74.91	
2014-02	1.11	-79.13	
2014-03	1.04	-89.24	
2014-04	1.1	-74.57	
2014-05	1.09	-75	
2014-06	1.11	-51.47	
2014-07	1.18	-22.05	
2014-08	1.3	29.25	
2014-09	1.29	47.62	
2014-10	1.27	42.26	
2014-11	1.33	66.12	
2014-12	1.62	87.19	
2015-01	1.77	88.97	
2015-02	1.66	82.5	
2015-03	1.78	87.82	
2015-04	2.12	97.62	
2015-05	1.98	85.98	
2015-06	2.15	91.24	
2015-07	1.55	32.65	
2015-08	1.41	-1.83	
2015-09	1.17	-38.8	
2015-10	1.18	-48.11	
2015-11	1.28	-46.81	
2015-12	1.27	-55.4	
2016-01	1.06	-82.72	
2016-02	0.95	-88.33	
2016-03	1.03	-78.61	
2016-04	1.07	-70.98	
2016-05	1	-85.46	
2016-06	1	-85.67	
2016-07	1.06	-52.34	
2016-08	1.18	-4.89	
2016-09	1.17	15.18	
2016-10	1.24	38.28	
2016-11	1.34	49.96	
2016-12	1.37	58.73	
2017-01	1.39	70.73	
2017-02	1.52	85.67	
2017-03	1.51	83.04	
2017-04	1.51	84.13	
2017-05	1.44	58.71	
2017-06	1.58	84.05	
2017-07	1.81	97.19	
2017-08	1.86	93.44	
2017-09	2	96.94	
2017-10	2.11	98.11	
2017-11	2.36	95.94	
2017-12	2.17	81.12	
2018-01	2.43	94.48	
2018-02	2.32	82.08	
2018-03	2.26	64.98	
2018-04	2.31	63	
2018-05	2.31	60.27	
2018-06	2.47	86.52	
2018-07	2.34	66.11	
2018-08	2.21	24.07	
2018-09	2.28	8.22	
2018-10	2.25	3.03	
2018-11	2.17	-42.17	
2018-12	2.22	-39.11	
2019-01	2.35	-13.84	
2019-02	2.73	57.14	
2019-03	3.17	90.35	
2019-04	3.79	95.96	
2019-05	3.38	80.85	
2019-06	3.5	83.88	
2019-07	3.57	87.73	
2019-08	3.32	54.95	
2019-09	3.48	58.93	
2019-10	3.5	61.61	
2019-11	3.86	89.16	
2019-12	4.34	97.44	
2020-01	4.44	89.29	
2020-02	4.22	83.04	
2020-03	4.02	66.36	
2020-04	3.93	42.3	
2020-05	4.12	55.36	
2020-06	4.08	45.36	
2020-07	4.78	79.39	
2020-08	4.78	82.1	
2020-09	4.54	72.28	
2020-10	4.76	82.92	
2020-11	5.18	93.84	
2020-12	4.9	75.66	
2021-01	5.59	89.51	
2021-02	7.27	98.04	
2021-03	6.23	82.76	
2021-04	5.77	66.41	
2021-05	5.32	34.82	
2021-06	5.29	18.03	
2021-07	5.29	-0.61	
2021-08	6.04	47.4	
2021-09	5.74	46.21	
2021-10	5.14	-7.59	
2021-11	4.82	-39.77	
2021-12	5.62	-7.14	
2022-01	5.27	-19.41	
2022-02	4.85	-67.58	
2022-03	4.32	-82.92	
2022-04	3.79	-90.41	
2022-05	3.52	-91.68	
2022-06	3.87	-77.64	
2022-07	3.83	-79.93	
2022-08	3.66	-89.98	
2022-09	3.43	-93.5	
2022-10	3.01	-94.31	
2022-11	3.27	-81.13	
2022-12	3.39	-70.17	
2023-01	3.46	-55.47	
2023-02	3.9	-10.13	
2023-03	3.83	5.16	
2023-04	3.81	21.19	
2023-05	3.9	28.79	
2023-06	3.85	27.81	
2023-07	4.07	55.06	
2023-08	3.94	49.46	
2023-09	3.99	50	
2023-10	4.31	80.46	
2023-11	4.77	93.55	
2023-12	4.53	81.08	
2024-01	4.76	89.65	
2024-02	5.22	98.21	
2024-03	5.37	93.45	
2024-04	5.88	97.32	
2024-05	5.58	82.59	
2024-06	5.2	58.13	
2024-07	4.68	20.15	
2024-08	4.33	-13.15	
2024-09	4.29	-33.88	
2024-10	4.73	-13.49	
2024-11	4.72	-8.93	
2024-12	4.68	-15.99	
2025-01	4.91	10.46	
2025-02	4.81	11.61	
