month	ct_avg_前复权价格	人均持股
2011-06	0.53	83302	
2011-12	0.37	83918	
2012-06	0.4	84705	
2012-12	0.53	85819	
2013-06	0.42	88020	
2013-12	0.47	89511	
2014-06	0.43	90620	
2014-12	1.07	93187	
2015-06	1.86	111581	
2015-12	1.29	113298	
2016-06	0.91	113976	
2016-12	1.14	115794	
2017-06	1.14	118557	
2017-12	1.11	122488	
2018-06	0.85	126611	
2018-12	1.11	124905	
2019-06	0.97	130412	
2019-12	0.99	131887	
2020-06	0.86	133627	
2020-12	0.84	136778	
2021-06	0.77	139884	
2021-12	0.82	142329	
2022-06	0.83	143967	
2022-12	0.9	145399	
2023-06	1.1	147360	
2023-12	0.85	148967	
