month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2018-03	1.11	-0.17	
2018-04	1.09	-0.18	
2018-05	1.01	-0.24	
2018-06	0.85	-0.36	
2018-07	0.82	-0.38	
2018-08	0.83	-0.38	
2018-09	0.86	-0.35	
2018-10	0.82	-0.38	
2018-11	0.85	-0.36	
2018-12	0.86	-0.35	
2019-01	0.9	-0.32	
2019-02	0.96	-0.27	
2019-03	1.09	-0.17	
2019-04	1.28	-0.03	
2019-05	1.04	-0.21	
2019-06	1.06	-0.19	
2019-07	1.22	-0.06	
2019-08	1.19	-0.08	
2019-09	1.2	-0.08	
2019-10	1.1	-0.15	
2019-11	1.07	-0.17	
2019-12	1.06	-0.17	
2020-01	1.08	-0.16	
2020-02	0.92	-0.28	
2020-03	0.88	-0.31	
2020-04	0.86	-0.32	
2020-05	0.84	-0.34	
2020-06	0.82	-0.35	
2020-07	0.96	-0.24	
2020-08	1.01	-0.2	
2020-09	0.92	-0.27	
2020-10	0.88	-0.3	
2020-11	0.87	-0.3	
2020-12	0.84	-0.33	
2021-01	0.87	-0.3	
2021-02	0.83	-0.34	
2021-03	0.83	-0.34	
2021-04	0.84	-0.33	
2021-05	0.85	-0.32	
2021-06	0.83	-0.34	
2021-07	0.82	-0.34	
2021-08	0.82	-0.34	
2021-09	0.94	-0.25	
2021-10	0.86	-0.31	
2021-11	0.85	-0.31	
2021-12	0.85	-0.31	
2022-01	0.84	-0.32	
2022-02	0.83	-0.33	
2022-03	0.79	-0.36	
2022-04	0.77	-0.37	
2022-05	0.72	-0.41	
2022-06	0.75	-0.39	
2022-07	0.75	-0.39	
2022-08	0.77	-0.37	
2022-09	0.75	-0.39	
2022-10	0.71	-0.42	
2022-11	0.73	-0.4	
2022-12	0.73	-0.4	
2023-01	0.72	-0.4	
2023-02	0.74	-0.38	
2023-03	0.78	-0.35	
2023-04	0.82	-0.31	
2023-05	0.96	-0.19	
2023-06	0.94	-0.2	
2023-07	0.94	-0.19	
2023-08	0.9	-0.22	
2023-09	0.85	-0.24	
2023-10	0.83	-0.25	
2023-11	0.81	-0.25	
2023-12	0.82	-0.23	
2024-01	0.84	-0.2	
2024-02	0.88	-0.15	
2024-03	0.95	-0.07	
2024-04	0.98	-0.03	
2024-05	1.03	0.02	
2024-06	0.99	-0.01	
2024-07	1.05	0.05	
2024-08	1.12	0.12	
2024-09	1	0	
2024-10	1.06	0.07	
2024-11	1.02	0.03	
2024-12	0.99	0	
2025-01	0.92	-0.06	
2025-02	0.93	-0.05	
