month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2024-02	103.22	71.88	
2024-03	104.3	82.52	
2024-04	104.49	88.17	
2024-05	99.76	61.83	
2024-06	101.82	63.25	
2024-07	109.03	87.34	
2024-08	104.7	74.96	
2024-09	102.28	44.92	
2024-10	105.61	69.05	
2024-11	103.84	38.05	
2024-12	111.04	83.52	
2025-01	109.99	85.71	
2025-02	108.3	78.57	
