month	ct_avg_Tdx收盘价	人均持股
2007-11	36.38	978	
2007-12	40.01	1237	
2008-03	36.45	1577	
2008-06	15.85	2204	
2008-09	10.87	2328	
2008-12	13.6	4864	
2009-03	19.45	5190	
2009-06	16.92	5455	
2009-09	17.05	4713	
2009-12	21.14	6762	
2010-03	19.97	7700	
2010-06	14.53	9857	
2010-09	16.08	9279	
2010-12	19.65	7691	
2011-03	22.69	11727	
2011-06	20.04	13908	
2011-09	21.71	16532	
2011-12	17.45	15517	
2012-03	16.93	13452	
2012-06	14.41	12290	
2012-09	13.8	12673	
2012-12	11.98	12665	
2013-03	15.3	10497	
2013-06	13.83	10825	
2013-09	14.29	11000	
2013-12	16.5	24042	
2014-03	16.43	20725	
2014-06	16.4	24885	
2014-09	25.19	21560	
2014-12	25.46	18159	
2015-03	29.95	22465	
2015-06	43.36	16723	
2015-09	32.3	11508	
2015-12	38.98	13280	
2016-03	32.65	14297	
2016-06	42.56	19784	
2016-09	40	18894	
2016-12	36.82	16684	
2017-03	39.65	18604	
2017-04	38.96	19483.5	
2017-06	29.97	24616	
2017-07	33.72	28311	
2017-08	33.49	28793	
2017-09	34.68	31611	
2017-11	37.79	34840	
2017-12	37.98	33165	
2018-03	39.45	37085.5	
2018-04	41.42	34346	
2018-05	39.63	34975.5	
2018-06	39.68	39201.5	
2018-07	41.9	41750.67	
2018-08	40.79	42496.33	
2018-09	43.59	41671.5	
2018-10	40.14	41174.67	
2018-11	39.08	40301.67	
2018-12	36.55	35799.67	
2019-01	35.88	36993.67	
2019-02	39.19	37899.5	
2019-03	42.3	35949.25	
2019-05	37.32	40881	
2019-06	32.27	40432	
2019-07	35.28	41698	
2019-08	39.21	38843.67	
2019-09	41.93	28650	
2019-10	39.57	30382	
2019-11	39.11	31915.33	
2019-12	39.19	32246	
2020-01	39.22	28657.5	
2020-02	37.88	30970	
2020-03	36.35	31250	
2020-04	34.52	28999.33	
2020-05	35.35	28947.67	
2020-06	36.37	31628	
2020-07	43.01	33668.67	
2020-08	46.58	32643.33	
2020-09	46.71	35455.33	
2020-10	51.31	39666	
2020-11	58.93	42448.33	
2020-12	66.78	32747.67	
2021-01	76.76	21429	
2021-02	71.54	21984	
2021-03	65.6	24559.33	
2021-04	73.8	26050.5	
2021-05	72.18	26977	
2021-06	76.61	25374.67	
2021-07	81.25	26065	
2021-08	94.57	23115.67	
2021-09	85.82	20288.67	
2021-10	84.71	23119.67	
2021-11	97.14	28259	
2021-12	97.79	28328.33	
2022-01	89.12	28814.67	
2022-02	85.14	27866.67	
2022-03	82.79	27030.67	
2022-04	73.4	27890	
2022-05	80.64	30081.67	
2022-06	69.98	34315.33	
2022-07	63.94	35479	
2022-08	62.64	37237.67	
2022-09	63.53	41100.67	
2022-10	64.51	41487	
2022-11	61.56	31956.67	
2022-12	57.97	30092.67	
2023-01	57.35	29789.5	
2023-02	57.1	26618.67	
2023-03	55.29	26682	
2023-04	55.22	27994.33	
2023-05	48.19	34077	
2023-06	42.24	37086.67	
2023-07	44.31	38872	
2023-08	43.36	40662.33	
2023-09	43.3	41547.67	
2023-10	40.18	39375.67	
2023-11	39.97	38548	
2023-12	37.83	37591.67	
2024-01	33.79	36653.33	
2024-02	33.37	37899	
2024-03	35.34	29306	
2024-04	33.34	26948	
2024-05	35.77	31757.33	
2024-06	37.59	36035.33	
2024-07	37.39	37791	
2024-08	36.89	37980	
2024-09	37.96	39986	
2024-10	43.9	34105.33	
2024-11	42.38	29568	
2024-12	39.36	28639	
2025-01	37.36	27691.33	
