month	ct_avg_Tdx收盘价	人均持股
2010-03	32.64	798	
2010-06	26.77	1451	
2010-09	30.11	1526	
2010-12	32.06	1849	
2011-03	28.77	1747	
2011-06	22.25	1737	
2011-09	23.18	1784	
2011-12	21.3	1827	
2012-03	22.36	1810	
2012-06	21.68	1786	
2012-09	22.12	1905	
2012-12	18.41	1874	
2013-03	19.11	3431	
2013-06	17.71	3295	
2013-09	18.03	3347	
2013-12	24.33	2815	
2014-03	21.68	4035	
2014-06	20.66	3380	
2014-09	24.78	3913	
2014-12	25.89	4153	
2015-03	27.45	5587	
2015-06	51.26	6559	
2015-09	19.97	7119	
2015-12	30.71	7971	
2016-03	23.92	14725	
2016-06	33.23	4220	
2016-09	42.03	5308	
2016-12	43.88	4305	
2017-02	45.59	1809	
2017-03	61.13	2185	
2017-06	51.97	2227	
2017-09	52.42	2511	
2017-12	50.9	2608	
2018-03	50.39	17829	
2018-06	46.18	16869	
2018-09	40.42	22407	
2018-12	34.47	18816	
2019-03	35.86	27438	
2019-06	30.8	27098	
2019-07	34.53	31318	
2019-08	37.66	35059	
2019-09	39.43	29677	
2019-10	40.9	30253.33	
2019-12	37.66	25765	
2020-03	46.04	52684	
2020-06	53.06	81162	
2020-09	79.69	54783	
2020-12	82.13	37754	
2021-02	108.67	27176	
2021-03	90.31	22091	
2021-06	70.43	15747	
2021-09	63.22	20015	
2021-12	64.99	24727	
2022-03	51.03	20448	
2022-06	52.44	24657	
2022-09	48.25	23518	
2022-12	57.41	29209	
2023-03	53.5	26672	
2023-06	47.95	24819	
2023-09	42.25	23364	
2023-12	40.32	24324	
2024-03	38.01	23312	
2024-06	36.52	24383	
2024-09	37.81	25033	
