month	ct_avg_前复权价格	人均持股
2010-09	0.94	1103	
2010-12	1.38	4496	
2011-03	1.2	5032	
2011-06	1.26	11438	
2011-09	1.53	12910	
2011-12	1.34	12394	
2012-03	1.31	10050	
2012-06	1.39	21014	
2012-09	1.67	22745	
2012-12	1.4	20810	
2013-03	1.79	25852	
2013-06	1.77	25205	
2013-09	2.22	98928	
2013-12	2.33	108928	
2014-03	2.92	88060	
2014-06	3.5	116236	
2014-09	3.75	62824	
2014-12	3.29	50445	
2015-03	4.35	46136	
2015-06	5.86	79305	
2015-09	4.65	60361	
2015-12	5.66	60040	
2016-03	5.05	52486	
2016-06	4.88	93613	
2016-09	5.14	88655	
2016-12	5.12	104311	
2017-03	5.93	141572	
2017-04	6.46	141962	
2017-06	7.24	95463	
2017-08	7.89	103072	
2017-09	7.89	102099	
2017-10	8.57	108398	
2017-11	9.6	104855	
2017-12	9.27	87785	
2018-03	9.52	113142	
2018-04	8.62	107707	
2018-05	8.79	111874	
2018-06	9	125701	
2018-07	8.94	142179.33	
2018-08	8.86	143362	
2018-09	8.06	107116.5	
2018-10	7.88	116066	
2018-11	7.7	87083	
2018-12	7.14	86478	
2019-01	7.41	98865	
2019-02	9.41	116343.33	
2019-03	11.11	111453.5	
2019-06	11.26	81772.33	
2019-07	13.23	92378.33	
2019-08	15	67642	
2019-09	16.95	58730	
2019-10	19.13	56924.5	
2019-11	22.12	46416	
2019-12	23.2	44424	
2020-01	26.71	48717	
2020-02	29.84	33615	
2020-03	26.49	25547	
2020-04	27.2	28651.5	
2020-05	30.04	28442	
2020-06	36.2	34224.67	
2020-07	46.72	22806	
2020-08	45.95	19282.33	
2020-09	46.56	22245.33	
2020-10	49.57	23667	
2020-11	46.05	20320	
2020-12	44.79	20315.5	
2021-01	47.89	18070	
2021-02	41.96	16783.67	
2021-03	33.65	15201	
2021-04	29.89	14342	
2021-05	30.46	13584.67	
2021-06	35.05	14126	
2021-07	35.91	14528.67	
2021-08	32.98	14151	
2021-09	29.55	13078.33	
2021-10	31.52	14649	
2021-11	34.66	18521.33	
2021-12	38.32	24309.67	
2022-01	40.23	28756	
2022-02	36.69	28352.33	
2022-03	30.04	22494.33	
2022-04	24.51	20910	
2022-05	25.57	20764	
2022-06	28.32	20507	
2022-08	31.2	25148	
2022-09	28.96	24200.5	
2022-10	24.16	21788	
2022-11	26.97	23340	
2022-12	26.74	23764	
2023-01	25.65	24846	
2023-02	27.08	21310	
2023-03	24.96	20062	
2023-04	24.71	19891	
2023-05	22.94	18172	
2023-06	24.9	23362	
2023-07	28.13	26853	
2023-08	27.79	27512	
2023-09	25.57	25388.67	
2023-10	27.01	27755.5	
2023-11	27.14	26319	
2023-12	27.17	28331.33	
2024-01	25.5	25158	
2024-02	23.33	23964	
2024-03	24.6	21365	
2024-04	23.9	22953	
2024-05	26.64	27192	
2024-06	30.3	30610.5	
2024-07	33.93	33088	
2024-08	31.57	34913	
2024-09	32.29	32204	
2024-11	34.18	21271	
2024-12	34.96	24633.5	
