month	ct_avg_Tdx收盘价	人均持股
2014-03	68.48	3843	
2014-06	34.04	7793	
2014-09	37.78	7138	
2014-12	40.76	7373	
2015-03	49.5	8161	
2015-06	34.89	6400	
2015-09	31.58	8421	
2015-12	35.61	9771	
2016-03	29.04	9994	
2016-06	29.86	11047	
2016-09	30.78	11645	
2016-12	30.13	11729	
2017-02	30.46	125053	
2017-03	32.24	131568	
2017-06	40.95	117681	
2017-09	43.33	157464	
2017-12	51.73	139403	
2018-03	57.96	137044	
2018-06	76.75	102844	
2018-09	70.92	121170	
2018-12	67.27	127907	
2019-03	77.57	140330	
2019-06	102.71	87660	
2019-09	111.38	103645	
2019-12	107.1	86048	
2020-03	104.52	108562	
2020-06	116.98	69563	
2020-09	164.22	39276	
2020-12	189.61	48569	
2021-03	156.6	26915	
2021-06	133.31	25854	
2021-09	94.09	24643	
2021-12	109.89	24091	
2022-03	92.87	23823	
2022-06	81.91	25215	
2022-09	79.72	28056	
2022-12	79.27	29597	
2023-03	76.48	28158	
2023-06	49.41	28141	
2023-08	42.82	33906	
2023-09	39	23811	
2023-12	36.01	24371	
2024-03	40.41	26637	
2024-06	35.37	24931	
2024-08	34.86	26631	
2024-09	37.48	27332	
