month	ct_avg_前复权价格	人均持股
2001-12	0.76	1819	
2002-03	0.68	2010	
2002-06	0.77	2013	
2002-09	0.74	2170	
2002-12	0.69	2570	
2003-03	0.78	2641	
2003-06	0.73	2403	
2003-09	0.56	2499	
2003-12	0.55	2802	
2004-03	0.58	2967	
2004-06	0.44	2942	
2004-09	0.44	3165	
2004-12	0.32	3271	
2005-03	0.24	3306	
2005-06	0.22	3294	
2005-09	0.21	3222	
2005-12	0.18	3303	
2006-03	0.22	3368	
2006-06	0.33	3379	
2006-09	0.29	4473	
2006-12	0.34	4345	
2007-03	0.58	4504	
2007-06	0.87	4878	
2007-09	0.88	4601	
2007-12	0.8	4212	
2008-03	0.84	4006	
2008-06	0.55	4285	
2008-09	0.68	3984	
2008-12	0.45	5499	
2009-03	0.7	7240	
2010-09	2.58	8919	
2010-12	3.4	24262	
2011-03	4.01	28385	
2011-06	4.45	31924	
2011-09	3.36	29599	
2011-12	2.5	28748	
2012-03	2.8	28619	
2012-06	2.94	44324	
2012-09	3.15	42862	
2012-12	2.29	37840	
2013-03	3.61	39256	
2013-06	3.87	38273	
2013-09	3.97	46338	
2013-12	4.91	56501	
2014-03	4.51	37574	
2014-06	4.38	71429	
2014-09	5.57	55243	
2014-12	6.14	50858	
2015-03	6.3	40595	
2015-06	9.21	41438	
2015-09	4.58	29677	
2015-12	5.24	30272	
2016-03	4.04	30410	
2016-06	3.95	32098	
2016-09	4.19	32130	
2016-12	4.06	30095	
2017-02	4.31	30272	
2017-03	4.27	31867	
2017-06	3.41	31188	
2017-09	3.57	33092	
2017-12	3.05	31699	
2018-03	3.04	30955	
2018-06	2.76	34192	
2018-09	3.08	36035	
2018-12	3.06	36658	
2019-03	3.65	34660	
2019-06	3.15	36345	
2019-09	3.3	34407	
2019-12	3.03	35303	
2020-03	2.93	34777	
2020-06	2.9	35684	
2020-09	3.6	27551	
2020-12	3.86	27400.5	
2021-01	4.49	29427.5	
2021-03	3.43	24569	
2021-06	3.51	24241	
2021-07	3.47	25613	
2021-09	3.89	26464	
2021-12	4.46	39762	
2022-03	4.18	36452	
2022-06	4.36	24219	
2022-09	4.16	27421	
2022-11	3.95	24775	
2022-12	3.76	24753	
2023-02	3.9	20430.33	
2023-03	3.91	20730.33	
2023-04	3.68	21005	
2023-05	3.35	19113	
2023-06	3.24	19657	
2023-09	3.24	21121.5	
2023-10	3.03	21267.33	
2023-11	3.01	21657	
2023-12	2.84	21822.25	
2024-01	2.65	22910	
2024-02	2.48	23481	
2024-03	2.62	23467.75	
2024-04	2.59	22656	
2024-05	2.71	22758	
2024-06	2.69	23453.25	
2024-07	2.69	23986.33	
2024-08	2.71	24806.33	
2024-09	2.46	24982.33	
2024-10	2.9	25548	
2024-12	2.79	25060	
2025-01	2.56	25586	
