month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2023-12	106.88	23.81	
2024-01	92.33	-17.17	
2024-02	83.91	-45.09	
2024-03	91.82	-52.04	
2024-04	82.16	-79.37	
2024-05	77.65	-90.09	
2024-06	82.7	-77.16	
2024-07	88.77	-51.86	
2024-08	90.7	-33.85	
2024-09	83.87	-58.27	
2024-10	112.3	22.72	
2024-11	112.3	50	
2024-12	107.92	51.95	
2025-01	98.7	37.8	
