month	ct_avg_Tdx收盘价	股东人数
2010-03	70.43	18519	
2010-06	62.72	20123	
2010-09	50.36	17234	
2010-12	54.53	13397	
2011-03	45.24	18341	
2011-06	24.37	17155	
2011-09	22.19	16600	
2011-12	20.22	16670	
2012-01	18.01	16766	
2012-03	22.51	18075	
2012-06	12.72	18308	
2012-09	10.66	17897	
2012-12	8.63	17384	
2013-03	15.46	14125	
2013-06	10.54	18355	
2013-09	19	21525	
2013-12	15.87	26313	
2014-03	16.9	24768	
2014-06	11.73	30224	
2014-09	14.29	40401	
2014-12	30.1	42455	
2015-06	79.58	87590	
2015-09	34.79	139176	
2015-12	56.54	152386	
2016-03	39.37	178912	
2016-06	21.7	195169	
2016-09	19.37	199080	
2016-12	18.55	195214	
2017-02	16.39	193235	
2017-03	15.86	187739	
2017-06	12.22	207289	
2017-09	14.38	235016	
2017-12	13.3	217238	
2018-03	15.17	200386	
2018-06	12.82	230167	
2018-09	11.35	242597	
2018-12	12.72	231860	
2019-03	19.85	305138	
2019-06	13.03	339862	
2019-09	15.7	357930	
2019-12	14.9	359054	
2020-03	17.49	374409	
2020-06	16.8	357802	
2020-09	24.43	628162	
2020-12	27.56	516351	
2021-03	28.39	684830	
2021-06	31.01	614372	
2021-09	34.09	514857	
2021-12	36.95	437742	
2022-03	25.41	650740	
2022-06	24.37	598074	
2022-09	20.32	710856	
2022-12	19.47	651496	
2023-03	20.19	680094	
2023-06	14.34	844861	
2023-09	15.49	821892	
2023-12	14.18	811157	
2024-03	13.57	805837	
2024-06	12	793018	
2024-09	11.75	907685	
