month	ct_avg_前复权价格	人均持股
2016-06	1.78	554.5	
2016-09	3.42	1767	
2016-12	3.33	2012	
2017-02	3.08	2191	
2017-03	3.1	2290	
2017-06	2.25	3105	
2017-09	2.62	3502	
2017-12	2.46	3687	
2018-03	2.31	4067	
2018-06	2.22	4306	
2018-09	2.06	5434	
2018-12	2.05	6128	
2019-03	2.11	6146	
2019-06	1.58	27699	
2019-09	1.62	29535	
2019-12	1.52	28248	
2020-03	1.15	30154	
2020-06	1.11	27604	
2020-09	1.07	32453	
2020-12	2.18	16051	
2021-03	2.71	19985	
2021-06	8.34	9762	
2021-09	9.04	16870	
2021-12	8.56	10860	
2022-03	5.27	11774	
2022-06	8.95	13557	
2022-09	8.02	12077	
2022-12	5.6	9180	
2023-03	4.83	8450	
2023-06	4.03	10204	
2023-09	5.8	10875	
2023-12	10.04	7756	
2024-03	12.03	7458	
2024-06	11.26	7708	
2024-09	9.58	7256	
