month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2018-08	7.71	1.37	
2018-09	7.11	1.15	
2018-10	5.96	0.77	
2018-11	6.65	0.94	
2018-12	6.64	0.91	
2019-01	6.92	0.96	
2019-02	8.23	1.28	
2019-03	8.6	1.34	
2019-04	8.4	1.24	
2019-05	6.72	0.76	
2019-06	6.47	0.68	
2019-07	7.1	0.81	
2019-08	7.55	0.89	
2019-09	8.44	1.07	
2019-10	7.92	0.91	
2019-11	8.28	0.97	
2019-12	7.96	0.86	
2020-01	8.82	1.03	
2020-02	9.11	1.06	
2020-03	7.82	0.74	
2020-04	7.6	0.66	
2020-05	7.59	0.64	
2020-06	7.52	0.6	
2020-07	9.17	0.92	
2020-08	9.91	1.03	
2020-09	9.48	0.92	
2020-10	10.43	1.07	
2020-11	12.09	1.35	
2020-12	11.75	1.24	
2021-01	15.56	1.88	
2021-02	15.5	1.8	
2021-03	14.11	1.49	
2021-04	15.19	1.62	
2021-05	16.1	1.71	
2021-06	15.92	1.61	
2021-07	16.39	1.63	
2021-08	14.75	1.32	
2021-09	13.92	1.15	
2021-10	14.27	1.16	
2021-11	13.18	0.96	
2021-12	13.35	0.95	
2022-01	12.87	0.86	
2022-02	12.2	0.74	
2022-03	11.24	0.58	
2022-04	10.48	0.46	
2022-05	8.78	0.21	
2022-06	9.39	0.28	
2022-07	8.84	0.19	
2022-08	8.37	0.12	
2022-09	7.87	0.05	
2022-10	7.94	0.05	
2022-11	8.19	0.07	
2022-12	9.11	0.18	
2023-01	9.24	0.18	
2023-02	9.95	0.26	
2023-03	10.88	0.37	
2023-04	11.31	0.4	
2023-05	9.62	0.18	
2023-06	9.37	0.14	
2023-07	9.34	0.13	
2023-08	9.57	0.15	
2023-09	9.17	0.1	
2023-10	9.39	0.12	
2023-11	9.85	0.16	
2023-12	9.14	0.07	
2024-01	8.6	0	
2024-02	9.11	0.05	
2024-03	9.17	0.05	
2024-04	8.76	0	
2024-05	9.12	0.03	
2024-06	9.03	0.02	
2024-07	8.34	-0.07	
2024-08	7.58	-0.16	
2024-09	7.42	-0.18	
2024-10	8.51	-0.06	
2024-11	8.68	-0.05	
2024-12	8.63	-0.06	
2025-01	7.96	-0.13	
