month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2020-07	6.43	95.22	
2020-08	7.08	95.62	
2020-09	6.74	82.67	
2020-10	6.27	68.08	
2020-11	5.74	47.58	
2020-12	5.57	28.46	
2021-01	5.57	12.63	
2021-02	4.89	-19.64	
2021-03	4.42	-40.41	
2021-04	4.04	-59.27	
2021-05	4.02	-60.17	
2021-06	4.21	-66.03	
2021-07	3.81	-84.25	
2021-08	3.71	-85.06	
2021-09	4.26	-51.38	
2021-10	3.91	-65.9	
2021-11	3.83	-79.06	
2021-12	3.96	-59.51	
2022-01	3.75	-78.38	
2022-02	3.56	-92.13	
2022-03	3.24	-97.2	
2022-04	3.07	-94.55	
2022-05	2.96	-93.14	
2022-06	3.49	-61.05	
2022-07	3.59	-31.04	
2022-08	3.52	-26.32	
2022-09	3.48	-14.71	
2022-10	3.24	-54.57	
2022-11	3.42	-33.56	
2022-12	3.36	-37.74	
2023-01	3.48	-35.21	
2023-02	3.64	30.04	
2023-03	3.55	40.57	
2023-04	3.54	44.88	
2023-05	3.6	49.42	
2023-06	3.27	-20.31	
2023-07	3.37	-38.99	
2023-08	3.64	14.13	
2023-09	3.45	-4.78	
2023-10	3.36	-43.07	
2023-11	3.56	-2.11	
2023-12	3.33	-10.37	
2024-01	3.03	-82.1	
2024-02	3.13	-79.97	
2024-03	3.15	-76.49	
2024-04	2.98	-90.76	
2024-05	3.04	-83.04	
2024-06	2.85	-94.64	
2024-07	2.6	-95.22	
2024-08	2.66	-88.27	
2024-09	2.83	-71.62	
2024-10	3.7	-2.18	
2024-11	3.93	32.44	
2024-12	3.79	50.33	
2025-01	3.37	46.97	
