month	ct_avg_Tdx收盘价	股东人数
1999-12	7.43	182	
2001-12	10.54	129	
2002-06	9.79	139	
2002-12	8.4	152	
2003-03	8.73	135	
2003-06	9.46	136	
2003-09	7.89	112	
2003-12	10.25	89	
2004-03	14.04	83	
2004-06	13.65	91	
2004-12	13.26	81	
2005-06	10.14	130	
2005-12	5.71	142	
2006-12	6.86	153	
2007-06	14.54	117	
2007-12	20.75	105	
2008-06	20.98	110	
2008-12	9.45	159	
2009-06	15.27	193	
2009-12	23.52	185	
2010-06	18.26	162	
2010-12	28.03	163	
2011-06	33.63	173	
2011-12	23.13	181	
2012-06	21.04	205	
2012-12	17.07	230	
2013-06	11.96	283	
2013-12	9.53	303	
2014-06	6.76	322	
2015-12	9.65	298	
2016-06	9.8	303	
2024-09	14.04	112193	
