month	ct_avg_前复权价格	人均持股
1999-12	0.98	4670330	
2001-12	1.41	7906977	
2002-06	1.31	7338129	
2002-12	1.13	6710526	
2003-03	1.18	7555556	
2003-06	1.27	7500000	
2003-09	1.08	9107143	
2003-12	1.4	11460674	
2004-03	1.92	12289157	
2004-06	1.86	11208791	
2004-12	1.83	15111111	
2005-06	1.4	9415385	
2005-12	1.29	13791549	
2006-12	2.01	12800000	
2007-06	4.27	16738462	
2007-12	6.15	18651429	
2008-06	6.22	17803636	
2008-12	2.83	12316981	
2009-06	4.57	10147150	
2009-12	7.18	10585946	
2010-06	5.58	12088889	
2010-12	8.68	12014724	
2011-06	10.48	11320231	
2011-12	7.21	10819890	
2012-06	6.63	9553171	
2012-12	5.53	8514783	
2013-06	3.91	6920141	
2013-12	3.19	6463366	
2014-06	2.27	6081988	
2015-12	3.25	6550389	
2016-06	3.3	6442297	
2024-09	16.46	52474	
