month	ct_avg_前复权价格	股东人数
2021-06	1.58	1757585	
2021-09	1.71	2218406	
2021-12	1.89	851229	
2022-03	1.72	893848	
2022-06	1.66	800274	
2022-09	1.54	765862	
2022-12	1.49	735826	
2023-03	1.47	757945	
2023-06	1.41	720064	
2023-09	1.29	693724	
2023-12	1.18	666442	
2024-03	1.27	635069	
2024-06	1.21	625354	
2024-09	1.15	595304	
