month	ct_avg_Tdx收盘价	人均持股
2021-06	6.03	3954	
2021-09	6.54	4355.5	
2021-12	7.17	10069	
2022-03	6.59	9589	
2022-06	6.29	10710	
2022-09	5.82	11191	
2022-12	5.63	11648	
2023-03	5.55	17908	
2023-06	5.33	18850	
2023-09	4.83	19565	
2023-12	4.42	20366	
2024-03	4.72	21396	
2024-06	4.51	45711	
2024-09	4.21	48019	
