month	ct_avg_Tdx收盘价	股东人数
2021-06	6.03	1757585	
2021-09	6.54	2218406	
2021-12	7.17	851229	
2022-03	6.59	893848	
2022-06	6.29	800274	
2022-09	5.82	765862	
2022-12	5.63	735826	
2023-03	5.55	757945	
2023-06	5.33	720064	
2023-09	4.83	693724	
2023-12	4.42	666442	
2024-03	4.72	635069	
2024-06	4.51	625354	
2024-09	4.21	595304	
