month	ct_avg_前复权价格	人均持股
2021-06	1.58	3954	
2021-09	1.71	4355.5	
2021-12	1.89	10069	
2022-03	1.72	9589	
2022-06	1.66	10710	
2022-09	1.54	11191	
2022-12	1.49	11648	
2023-03	1.47	17908	
2023-06	1.41	18850	
2023-09	1.29	19565	
2023-12	1.18	20366	
2024-03	1.27	21396	
2024-06	1.21	45711	
2024-09	1.15	48019	
