month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2011-09	64.58	1.26	
2011-10	68.27	1.34	
2011-11	77.65	1.61	
2011-12	74.26	1.44	
2012-01	69.26	1.24	
2012-02	69.1	1.19	
2012-03	69.92	1.18	
2012-04	69.13	1.12	
2012-05	76.85	1.31	
2012-06	87.85	1.58	
2012-07	103.21	1.95	
2012-08	100.85	1.81	
2012-09	98.95	1.69	
2012-10	104.01	1.76	
2012-11	98.34	1.55	
2012-12	97.75	1.48	
2013-01	107.91	1.67	
2013-02	115.96	1.8	
2013-03	123.57	1.91	
2013-04	118.41	1.72	
2013-05	120.7	1.7	
2013-06	126.61	1.77	
2013-07	128.8	1.74	
2013-08	126.89	1.64	
2013-09	120.76	1.46	
2013-10	115.55	1.31	
2013-11	100	0.96	
2013-12	98.74	0.91	
2014-01	92.29	0.76	
2014-02	90.67	0.7	
2014-03	83.86	0.55	
2014-04	79.83	0.46	
2014-05	76.98	0.4	
2014-06	75.43	0.35	
2014-07	81.95	0.45	
2014-08	84.22	0.48	
2014-09	83.37	0.45	
2014-10	89.83	0.54	
2014-11	87.27	0.48	
2014-12	88.15	0.47	
2015-01	92.52	0.53	
2015-02	101.1	0.65	
2015-03	111.02	0.78	
2015-04	134.51	1.12	
2015-05	160.6	1.48	
2015-06	98.72	0.51	
2015-07	64.9	-0.01	
2015-08	61.72	-0.07	
2015-09	48.57	-0.27	
2015-10	54.84	-0.17	
2015-11	59.09	-0.11	
2015-12	62.32	-0.07	
2016-01	53.23	-0.2	
2016-02	48.03	-0.28	
2016-03	49.81	-0.26	
2016-04	54.23	-0.2	
2016-05	50.91	-0.25	
2016-06	39.8	-0.41	
2016-07	48.49	-0.28	
2016-08	48.87	-0.28	
2016-09	46.69	-0.31	
2016-10	48.09	-0.3	
2016-11	47.42	-0.31	
2016-12	46.05	-0.33	
2017-01	45.23	-0.35	
2017-02	46	-0.34	
2017-03	48.67	-0.3	
2017-04	54.97	-0.22	
2017-05	54.91	-0.22	
2017-06	57.02	-0.19	
2017-07	56.81	-0.2	
2017-08	55.63	-0.22	
2017-09	55.87	-0.22	
2017-10	62.94	-0.13	
2017-11	66.23	-0.09	
2017-12	63.19	-0.13	
2018-01	72.48	-0.01	
2018-02	72	-0.02	
2018-03	81.5	0.1	
2018-04	86.24	0.16	
2018-05	106.66	0.42	
2018-06	110.43	0.45	
2018-07	118.19	0.54	
2018-08	104	0.34	
2018-09	96.79	0.24	
2018-10	83.99	0.07	
2018-11	80.87	0.03	
2018-12	87.57	0.11	
2019-01	86.54	0.09	
2019-02	101.42	0.27	
2019-03	107.11	0.33	
2019-04	116.52	0.44	
2019-05	107.45	0.32	
2019-06	109.51	0.34	
2019-07	108.12	0.32	
2019-08	99.89	0.21	
2019-09	101.2	0.22	
2019-10	109.81	0.32	
2019-11	105.52	0.26	
2019-12	103.48	0.23	
2020-01	117.29	0.39	
2020-02	127.08	0.49	
2020-03	122.72	0.43	
2020-04	133.41	0.55	
2020-05	146.26	0.68	
2020-06	156.14	0.78	
2020-07	188.59	1.12	
2020-08	208.56	1.31	
2020-09	244.37	1.65	
2020-10	240.95	1.57	
2020-11	221.52	1.34	
2020-12	242.18	1.52	
2021-01	295.06	2.01	
2021-02	346.03	2.44	
2021-03	272.7	1.66	
2021-04	324.39	2.1	
2021-05	364.11	2.4	
2021-06	413.07	2.75	
2021-07	428.64	2.79	
2021-08	373.69	2.23	
2021-09	343.6	1.91	
2021-10	419.45	2.47	
2021-11	433.01	2.49	
2021-12	458.02	2.6	
2022-01	388.9	1.99	
2022-02	352.49	1.66	
2022-03	320.86	1.39	
2022-04	304.86	1.23	
2022-05	299.94	1.16	
2022-06	328.23	1.33	
2022-07	323.78	1.26	
2022-08	294.69	1.02	
2022-09	282.79	0.92	
2022-10	249.55	0.67	
2022-11	256.21	0.7	
2022-12	280.98	0.84	
2023-01	300.53	0.94	
2023-02	308.55	0.96	
2023-03	293.39	0.84	
2023-04	277.39	0.72	
2023-05	303.1	0.85	
2023-06	292.19	0.77	
2023-07	283.99	0.7	
2023-08	284.62	0.69	
2023-09	272.71	0.61	
2023-10	254.9	0.49	
2023-11	252.49	0.46	
2023-12	239.5	0.37	
2024-01	223.59	0.27	
2024-02	209.86	0.18	
2024-03	231.41	0.29	
2024-04	226.76	0.25	
2024-05	235.49	0.28	
2024-06	220.44	0.19	
2024-07	211.73	0.13	
2024-08	207.09	0.1	
2024-09	207.95	0.09	
2024-10	238.78	0.24	
2024-11	243.29	0.25	
2024-12	222.16	0.14	
2025-01	205.72	0.04	
2025-02	203.69	0.02	
