month	ct_avg_Tdx收盘价	股东人数
1995-12	14.83	2657	
1996-12	22.11	26027	
1997-12	22.97	115951	
1998-12	11.82	150769	
1999-06	11.66	136843	
1999-12	9.46	134574	
2000-12	12.03	108996	
2001-06	12.03	105535	
2001-12	8.95	103142	
2002-06	9.16	96859	
2002-09	8.36	95956	
2002-12	7.69	95110	
2003-03	7.46	94454	
2003-06	8.82	95686	
2003-09	4.16	96138	
2003-12	4.24	98756	
2004-03	4.72	107734	
2004-06	4.2	98638	
2004-09	3.97	101866	
2004-12	3.74	98258	
2005-03	3.68	95284	
2005-06	3.5	93415	
2005-09	4.88	82144	
2005-12	4.17	79221	
2006-03	5.16	70890	
2006-06	12.76	50952	
2006-09	13.56	39378	
2006-12	21.91	26722	
2007-03	27.37	26748	
2007-06	45.63	25795	
2007-09	57.87	23861	
2007-12	67.59	27705	
2008-03	67.86	21526	
2008-06	31.78	24379	
2008-09	26.52	24728	
2008-12	20.44	36631	
2009-03	19.72	72172	
2009-06	26.07	54583	
2009-09	30.01	49618	
2009-12	38.36	58665	
2010-03	32.16	80894	
2010-06	29.41	78074	
2010-09	36.32	54855	
2010-12	41.1	75647	
2011-03	44.84	48963	
2011-06	44.81	37865	
2011-09	41.98	49008	
2011-12	39.77	46500	
2012-03	42.48	41654	
2012-06	40.55	53281	
2012-09	36.98	59144	
2012-12	32.8	63431	
2013-03	29.19	86063	
2013-06	24.81	84769	
2013-09	21.89	83917	
2013-12	20.25	84038	
2014-03	17.98	86720	
2014-06	16.16	89701	
2014-09	17.95	87818	
2014-12	20.16	82995	
2015-03	22.13	67621	
2015-06	29.07	103874	
2015-09	20.94	72041	
2015-12	25.7	73303	
2016-03	22.94	57907	
2016-06	27.65	52443	
2016-09	30.69	55349	
2016-12	33.26	53696	
2017-03	40.35	39059	
2017-04	43.36	40253.5	
2017-06	49.73	47961	
2017-09	54.81	47246	
2017-12	64.43	52785	
2018-03	58.42	59353.33	
2018-04	60.59	53834.5	
2018-05	65.35	48832	
2018-06	66.64	49709.67	
2018-07	57.04	55521	
2018-08	47.05	66386.67	
2018-09	43.29	70052	
2018-10	41.35	72417	
2018-11	40	71415.33	
2018-12	41.92	70522.5	
2019-01	40.9	69368.67	
2019-02	49.21	64563.67	
2019-03	56.46	61236.33	
2019-04	70.33	58968	
2019-05	73.05	66119	
2019-06	72.49	70456.33	
2019-07	83.73	65789	
2019-08	84.22	65302	
2019-09	90.31	91149.67	
2019-10	85.76	98005.33	
2019-11	85.58	100875.67	
2019-12	82.1	99840.67	
2020-02	77.24	98988.25	
2020-03	75.16	100097	
2020-04	77.3	97327.67	
2020-05	85.2	98545.33	
2020-06	91.73	104632.33	
2020-07	116.13	109621	
2020-09	143.83	113945	
2020-12	202.96	133242	
2021-03	214.4	156207	
2021-06	250.91	218549	
2021-09	187.74	195905	
2021-12	252.1	142588	
2022-03	198.33	140711	
2022-06	223.51	112980	
2022-09	224.44	106658	
2022-12	212.79	111220	
2023-03	245.35	86898	
2023-06	216.01	94905	
2023-09	229.88	94278	
2023-12	179.72	124164	
2024-03	181.14	118425	
2024-06	157.57	147587	
2024-09	111.88	168211	
