month	ct_avg_前复权价格	人均持股
2018-10	1.3	887.5	
2018-12	1.56	2438	
2019-03	1.85	3046	
2019-06	2.22	3793	
2019-09	2.64	3865	
2019-12	2.58	11978	
2020-03	3.6	10060	
2020-06	4.1	9191	
2020-09	4.78	8648	
2020-12	5.4	7153	
2021-03	5.48	6551	
2021-06	6.84	7679	
2021-09	5.09	6362	
2021-12	5.29	18488	
2022-03	4.44	18866	
2022-06	4.52	17674	
2022-07	4.57	16028	
2022-08	4.33	16680.5	
2022-09	4.22	18152	
2022-12	4.62	18477	
2023-03	4.52	19215	
2023-06	4.46	20080	
2023-09	4.02	16796	
2023-12	4.38	19893	
2024-03	4.41	19731	
2024-06	4.5	21707	
2024-09	3.71	16628	
