month	ct_avg_前复权价格	股东人数
2014-11	2.38	47913	
2014-12	6.2	32791	
2015-03	8.39	23399	
2015-06	15.38	24680	
2015-09	7.26	24458	
2015-12	11.89	27188	
2016-03	7.99	31760	
2016-06	9.78	39969	
2016-09	8.76	47091	
2016-12	7.5	55026	
2017-02	6.58	58077	
2017-03	7.12	58648	
2017-06	7.45	67138	
2017-09	8.81	66635	
2017-12	11.13	89035	
2018-03	13.1	77983	
2018-06	11.69	83603	
2018-09	12.84	81036	
2018-12	10.35	91852	
2019-03	15.54	78337	
2019-06	14.34	127049	
2019-09	13.93	140840	
2019-12	13.02	139525	
2020-03	17.06	115217	
2020-06	20.26	157380	
2020-09	21.02	188741	
2020-12	17.4	202408	
2021-03	15.33	212324	
2021-06	14.61	202295	
2021-09	14.7	195939	
2021-12	14.53	196309	
2022-03	16.56	178391	
2022-06	14.53	164867	
2022-09	13.2	169842	
2022-12	12.09	178469	
2023-03	18.47	179721	
2023-06	27.75	228068	
2023-09	20.65	237773	
2023-12	20.88	222295	
2024-01	18.26	224798	
2024-03	27.67	260058	
2024-04	24.23	263712	
2024-05	23.15	256384	
2024-06	21.74	247820.5	
2024-07	22.17	249977.33	
2024-08	20.64	250134.33	
2024-09	19.83	245897	
2024-10	29.02	296321	
