month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2002-02	15.73	0.03	
2002-03	16.15	0.06	
2002-04	14.84	-0.03	
2002-05	13.57	-0.11	
2002-06	12.54	-0.18	
2002-07	13.26	-0.14	
2002-08	12.07	-0.22	
2002-09	11.34	-0.27	
2002-10	10.92	-0.3	
2002-11	10.63	-0.32	
2002-12	9.81	-0.38	
2003-01	9.71	-0.38	
2003-02	10.01	-0.37	
2003-03	9.66	-0.39	
2003-04	10.14	-0.36	
2003-05	9.78	-0.39	
2003-06	9.76	-0.39	
2003-07	9.41	-0.41	
2003-08	9.09	-0.44	
2003-09	8.75	-0.46	
2003-10	8.12	-0.5	
2003-11	8.29	-0.49	
2003-12	8.49	-0.48	
2004-01	9.08	-0.44	
2004-02	9.8	-0.4	
2004-03	9.62	-0.41	
2004-04	9.85	-0.4	
2004-05	9.13	-0.44	
2004-06	8.67	-0.47	
2004-07	6.73	-0.59	
2004-08	5.44	-0.67	
2004-09	5.4	-0.67	
2004-10	5.26	-0.68	
2004-11	5.81	-0.65	
2004-12	5.42	-0.67	
2005-01	5.12	-0.68	
2005-02	5.21	-0.68	
2005-03	4.96	-0.69	
2005-04	4.7	-0.71	
2005-05	4.59	-0.71	
2005-06	4.75	-0.7	
2005-07	4.4	-0.72	
2005-08	4.36	-0.72	
2005-09	4.4	-0.71	
2005-10	4.04	-0.73	
2005-11	3.84	-0.74	
2005-12	3.94	-0.73	
2006-01	4.26	-0.7	
2006-02	4.41	-0.69	
2006-03	4.79	-0.65	
2006-05	4.6	-0.66	
2006-06	4.5	-0.66	
2006-07	4.47	-0.66	
2006-08	4.33	-0.66	
2006-09	4.62	-0.64	
2006-10	5.46	-0.56	
2006-11	6.48	-0.48	
2006-12	7.57	-0.38	
2007-01	10.7	-0.12	
2007-02	10.12	-0.16	
2007-03	10.73	-0.11	
2007-04	13.19	0.1	
2007-05	15.47	0.3	
2007-06	15.92	0.33	
2007-07	16.06	0.35	
2007-08	19.69	0.65	
2007-09	25.79	1.14	
2007-10	22.23	0.83	
2007-11	18.37	0.52	
2007-12	19.85	0.64	
2008-01	23.64	0.94	
2008-02	21.58	0.77	
2008-03	17	0.39	
2008-04	12.4	0.02	
2008-05	13.13	0.08	
2008-06	9.84	-0.18	
2008-07	10.06	-0.16	
2008-08	9.75	-0.18	
2008-09	8.84	-0.24	
2008-10	7.84	-0.32	
2008-11	8.54	-0.25	
2008-12	9.57	-0.16	
2009-01	9.01	-0.2	
2009-02	10.07	-0.1	
2009-03	9.51	-0.14	
2009-04	10.11	-0.07	
2009-05	11.27	0.04	
2009-06	13.19	0.23	
2009-07	13.94	0.31	
2009-08	15.03	0.41	
2009-09	15.96	0.51	
2009-10	18.12	0.71	
2009-11	21.25	1.01	
2009-12	24.26	1.27	
2010-01	21.54	1.01	
2010-02	20.73	0.92	
2010-03	20.98	0.94	
2010-04	19.97	0.84	
2010-05	17.88	0.64	
