month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2016-02	28.4	-84.82	
2016-03	29.04	-81.91	
2016-04	29.93	-79.02	
2016-05	29.72	-73.55	
2016-06	29.86	-68.75	
2016-07	31.54	-22.75	
2016-08	31.59	-3.53	
2016-09	30.78	-13.26	
2016-10	31	-10.55	
2016-11	31.32	13.15	
2016-12	30.13	-13.96	
2017-01	30.68	-30.01	
2017-02	30.46	-31.4	
2017-03	32.24	27.8	
2017-04	35.95	78.97	
2017-05	37.51	91.12	
2017-06	40.95	97.08	
2017-07	38.67	80.23	
2017-08	40.26	85.36	
2017-09	43.33	96.39	
2017-10	49.57	99.37	
2017-11	52.11	95.53	
2017-12	51.73	90.31	
2018-01	55.96	96.39	
2018-02	54.09	84.17	
2018-03	57.96	96.14	
2018-04	60.23	95.98	
2018-05	68.49	99.27	
2018-06	76.75	95.09	
2018-07	73.39	84.41	
2018-08	68.1	65.96	
2018-09	70.92	61.89	
2018-10	69.98	69.54	
2018-11	64.16	16.48	
2018-12	67.27	13.61	
2019-01	69.92	26.46	
2019-02	75.94	64.88	
2019-03	77.57	72.45	
2019-04	86.42	92.52	
2019-05	93.74	94.55	
2019-06	102.71	97.65	
2019-07	102.13	88.2	
2019-08	102.25	81.9	
2019-09	111.38	93.53	
2019-10	108.8	84.72	
2019-11	112.39	91.24	
2019-12	107.1	64.25	
2020-01	107.86	56.58	
2020-02	104.09	27.59	
2020-03	104.52	7.91	
2020-04	126.36	76.74	
2020-05	113.62	76.98	
2020-06	116.98	80.27	
2020-07	134.03	97.05	
2020-08	160.79	99.91	
2020-09	164.22	88.39	
2020-10	167.13	92.52	
2020-11	163.39	77.38	
2020-12	189.61	97.44	
2021-01	205.39	95.09	
2021-02	190.36	80.24	
2021-03	156.6	37.54	
2021-04	167.99	29.17	
2021-05	147.36	1.59	
2021-06	133.31	-34.78	
2021-07	119.82	-56.7	
2021-08	112.37	-73.86	
2021-09	94.09	-85.71	
2021-10	115.36	-68.53	
2021-11	118.21	-54.22	
2021-12	109.89	-72.32	
2022-01	104.28	-87.22	
2022-02	96.72	-89.01	
2022-03	92.87	-88.33	
2022-04	88.36	-91.54	
2022-05	74.89	-98.4	
2022-06	81.91	-81.38	
2022-07	85.91	-72.49	
2022-08	79.74	-87.46	
2022-09	79.72	-83.38	
2022-10	70.34	-93.14	
2022-11	70.48	-88.72	
2022-12	79.27	-58.24	
2023-01	80.45	-33.59	
2023-02	79.22	-27.32	
2023-03	76.48	-44.22	
2023-04	73.41	-70.4	
2023-05	65.8	-85.09	
2023-06	49.41	-95.98	
2023-07	45.53	-97.19	
2023-08	42.82	-95.46	
2023-09	39	-98.75	
2023-10	36.93	-96.69	
2023-11	38.03	-85.51	
2023-12	36.01	-94.85	
2024-01	35.09	-92.45	
2024-02	38.19	-73.09	
2024-03	40.41	-34.74	
2024-04	37.92	-46.03	
2024-05	37.74	-32.46	
2024-06	35.37	-71.85	
2024-07	34.43	-77.48	
2024-08	34.86	-79.59	
2024-09	37.48	-53.15	
2024-10	44.92	15.57	
2024-11	45.59	51.15	
2024-12	46.9	67.82	
2025-01	42.69	47.14	
