month	ct_avg_Tdx平均成交价	deviate_avg_100_ct_avg_Tdx平均成交价
1999-07	8.29	-0.16	
1999-08	8.31	-0.14	
1999-09	7.97	-0.17	
1999-10	6.41	-0.34	
1999-11	6.29	-0.35	
1999-12	7.2	-0.25	
2000-01	8.69	-0.1	
2000-02	9.69	0	
2000-03	9.09	-0.05	
2000-04	9.66	0.01	
2000-05	9.69	0.02	
2000-06	9.78	0.03	
2000-07	8	-0.15	
2000-08	8.26	-0.11	
2000-09	9.01	-0.02	
2000-10	9.89	0.09	
2000-11	8.42	-0.05	
2000-12	7.88	-0.09	
2001-01	9.06	0.07	
2001-02	8.14	-0.02	
2001-03	7.85	-0.04	
2001-04	7.39	-0.09	
2001-05	8.43	0.06	
2001-06	8.5	0.09	
2001-07	7.35	-0.05	
2001-08	6.24	-0.18	
2001-09	5.34	-0.29	
2001-10	5.18	-0.3	
2001-11	5.77	-0.22	
2001-12	6.36	-0.14	
2002-01	4.99	-0.32	
2002-02	4.95	-0.33	
2002-03	6.15	-0.16	
2002-04	6.85	-0.05	
2002-05	7.28	0.01	
2002-06	5.92	-0.18	
2002-07	7.04	-0.02	
2002-08	7.6	0.05	
2002-09	6.84	-0.05	
2002-10	6.4	-0.12	
2002-11	6.29	-0.13	
2002-12	5.97	-0.18	
2003-01	5.8	-0.2	
2003-02	6.28	-0.14	
2003-03	6.89	-0.06	
2003-04	6.73	-0.08	
2003-05	7.15	-0.03	
2003-06	5.86	-0.21	
2003-07	6.48	-0.13	
2003-08	6.73	-0.1	
2003-09	6.4	-0.15	
2003-10	6.03	-0.2	
2003-11	5.58	-0.26	
2003-12	5.5	-0.27	
2004-01	6.22	-0.18	
2004-02	6.85	-0.1	
2004-03	6.99	-0.09	
2004-04	7.25	-0.06	
2004-05	6.25	-0.19	
2004-06	6.4	-0.18	
2004-07	6.68	-0.15	
2004-08	5.99	-0.24	
2004-09	5.63	-0.28	
2004-10	6.41	-0.19	
2004-11	5.73	-0.27	
2004-12	5.12	-0.35	
2005-01	5.51	-0.3	
2005-02	5.43	-0.3	
2005-03	5.89	-0.24	
2005-04	5.52	-0.28	
2005-05	4.67	-0.39	
2005-06	4.94	-0.35	
2005-07	4.18	-0.45	
2005-08	4.3	-0.42	
2005-09	4.22	-0.43	
2005-10	4.4	-0.39	
2005-11	4.27	-0.41	
2005-12	4.3	-0.4	
2006-01	4.58	-0.35	
2006-02	4.69	-0.33	
2006-03	4.52	-0.35	
2006-04	5.02	-0.27	
2006-05	5.54	-0.19	
2006-06	5.58	-0.18	
2006-07	5.7	-0.16	
2006-08	5.29	-0.22	
2006-09	5.49	-0.18	
2006-10	5.72	-0.14	
2006-11	6.3	-0.05	
2006-12	6.61	0	
2007-01	7.35	0.11	
2007-02	7.84	0.19	
2007-03	8.78	0.33	
2007-04	11.29	0.71	
2007-05	13.87	1.07	
2007-06	13.59	1.01	
2007-07	13.08	0.92	
2007-08	15.85	1.29	
2007-09	16.59	1.36	
2007-10	18.15	1.54	
2007-11	16.68	1.31	
2007-12	16.69	1.28	
2008-01	17.97	1.43	
2008-02	17.3	1.3	
2008-03	15.81	1.07	
2008-04	13.68	0.78	
2008-05	13.94	0.8	
2008-06	11.29	0.46	
2008-07	10.38	0.34	
2008-08	8.9	0.15	
2008-09	7.43	-0.04	
2008-10	6.42	-0.17	
2008-11	5.88	-0.23	
2008-12	6.71	-0.12	
2009-01	7.48	-0.02	
2009-02	8.14	0.07	
2009-03	8.7	0.14	
2009-04	9.53	0.25	
2009-05	9.88	0.29	
2009-06	10.42	0.36	
2009-07	11.66	0.51	
2009-08	11.89	0.53	
2009-09	11.8	0.51	
2009-10	12.34	0.58	
2009-11	12.78	0.62	
2009-12	13.86	0.74	
2010-01	14.17	0.76	
2010-02	13.51	0.66	
2010-03	14.47	0.76	
2010-04	15.44	0.86	
2010-05	13.9	0.65	
2010-06	13.76	0.62	
2010-07	12.52	0.46	
2010-08	13.93	0.61	
2010-09	14.76	0.7	
2010-10	15.27	0.74	
2010-11	16.96	0.91	
2010-12	17.62	0.96	
2011-01	16.71	0.84	
2011-02	16.96	0.84	
2011-03	16.2	0.74	
2011-04	14.44	0.54	
2011-05	13.38	0.41	
2011-06	13.03	0.37	
2011-07	14.62	0.52	
2011-08	14.7	0.52	
2011-09	13.29	0.36	
2011-10	12.57	0.28	
2011-11	13.48	0.36	
2011-12	12	0.21	
2012-01	10.95	0.1	
2012-02	11.17	0.11	
2012-03	12.32	0.22	
2012-04	10.89	0.07	
2012-05	11.56	0.13	
2012-06	11.54	0.13	
2012-07	11.69	0.13	
2012-08	10.66	0.03	
2012-09	10.21	-0.02	
2012-10	9.39	-0.1	
2012-11	9.01	-0.14	
2012-12	9.2	-0.12	
2013-01	10.41	-0.01	
2013-02	11.06	0.05	
2013-03	10.84	0.02	
2013-04	10.97	0.03	
2013-05	11.33	0.06	
2013-06	10.83	0.01	
2013-07	11.01	0.02	
2013-08	10.9	0	
2013-09	10.81	-0.01	
2013-10	11.22	0.02	
2013-11	11.18	0.01	
2013-12	11.65	0.04	
