month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2019-06	2.97	68	
2019-07	3.75	75.16	
2019-08	5.04	88.47	
2019-09	6.48	96.47	
2019-10	7.29	98.11	
2019-11	9.08	97.15	
2019-12	10.14	97.44	
2020-01	10.35	92.97	
2020-02	11.76	95.76	
2020-03	10.38	77.76	
2020-04	11.36	85.2	
2020-05	14.44	96.18	
2020-06	14.91	93.52	
2020-07	20.48	98.29	
2020-08	19.06	84.4	
2020-09	17.09	70.01	
2020-10	15.64	51.56	
2020-11	17.88	64.46	
2020-12	16.68	41.61	
2021-01	17.9	36.65	
2021-02	16.48	34.88	
2021-03	13.82	-17.51	
2021-04	15.01	-29	
2021-05	15.27	-30.21	
2021-06	17.72	7.86	
2021-07	23.6	42.78	
2021-08	30.68	87.01	
2021-09	28.44	85	
2021-10	28.85	84.04	
2021-11	30.8	92.45	
2021-12	28.79	70.42	
2022-01	25.74	38.86	
2022-02	28.14	42.75	
2022-03	29.55	64.25	
2022-04	26.05	17.76	
2022-05	25.78	-12.97	
2022-06	23.88	-30.87	
2022-07	23.14	-47.02	
2022-08	22.93	-58.97	
2022-09	19.7	-84.4	
2022-10	20.12	-80.36	
2022-11	22.56	-56.29	
2022-12	23.72	-24.03	
2023-01	23.28	-25.95	
2023-02	22.96	-15	
2023-03	20.59	-61.69	
2023-04	20.33	-64.19	
2023-05	15.85	-90.89	
2023-06	14.58	-91.25	
2023-07	14.95	-85.5	
2023-08	14.21	-83.93	
2023-09	13.84	-91.74	
2023-10	14.57	-75.37	
2023-11	15.56	-49.39	
2023-12	14.93	-51.11	
2024-01	12.42	-78.94	
2024-02	11.88	-86.73	
2024-03	12.27	-85.5	
2024-04	11.42	-90.67	
2024-05	13.23	-59.6	
2024-06	14.46	-16.4	
2024-07	13.67	-6.72	
2024-08	12.18	-46.59	
2024-09	12.5	-62.45	
2024-10	16.51	25.05	
2024-11	15.8	45.75	
2024-12	15.58	51.18	
2025-01	14.1	25.84	
2025-02	15.53	58.93	
