month	ct_avg_前复权价格	股东人数
1999-12	1.03	23379	
2000-12	1.63	65534	
2001-12	0.67	71295	
2002-06	0.63	64555	
2002-09	0.6	62955	
2002-12	0.49	62250	
2003-03	0.47	61784	
2003-06	0.42	60841	
2003-09	0.42	61316	
2003-12	0.33	59844	
2004-03	0.49	58660	
2004-06	0.46	58376	
2004-09	0.39	56898	
2004-12	0.43	57050	
2005-03	0.39	55974	
2005-06	0.32	54858	
2005-09	0.33	53102	
2005-12	0.3	52891	
2006-03	0.33	52716	
2006-06	0.4	50505	
2006-09	0.4	48473	
2006-12	0.38	45642	
2007-03	0.58	40151	
2007-06	0.61	36922	
2007-09	0.93	39327	
2007-12	0.89	46110	
2008-03	1.09	55029	
2008-06	0.81	55686	
2008-09	0.44	52809	
2008-12	0.43	51111	
2009-03	0.6	56433	
2009-06	0.66	48496	
2009-09	0.63	45450	
2009-12	0.67	41520	
2010-03	0.74	41036	
2010-06	0.65	42825	
2010-09	0.68	40739	
2010-12	0.75	39683	
2011-03	0.81	39992	
2011-06	0.66	38729	
2011-09	0.58	38134	
2011-12	0.55	40296	
2012-03	0.58	38828	
2012-06	0.64	38480	
2012-09	0.56	37087	
2012-12	0.48	36385	
2013-03	0.58	35475	
2013-06	0.68	33888	
2013-09	1.24	25519	
2013-12	1.21	26833	
2014-03	1.37	28346	
2014-06	1.27	32976	
2014-09	1.49	31580	
2014-12	1.41	28821	
2015-03	1.41	28556	
2015-06	4.53	22589	
2015-09	2.89	26477	
2015-12	4.83	30797	
2016-03	2.88	38764	
2016-06	2.89	34493	
2016-09	3.02	31861	
2016-12	2.86	32798	
2017-03	2.76	32461	
2017-06	2.67	38361	
2017-09	2.86	38590	
2017-12	3.23	49012	
2018-03	3.29	38871	
2018-06	3.06	40934	
2018-09	2.9	46527	
2018-12	2.3	48384	
2019-03	2.99	49806	
2019-06	2.57	62920	
2019-09	3.29	64220	
2019-12	2.88	67847	
2020-03	3.94	74735	
2020-06	3.88	80980	
2020-09	3.87	151271	
2020-12	2.85	179362	
2021-03	2.74	184910	
2021-06	2.98	153722	
2021-07	3.44	142525.5	
2021-08	3.6	147188	
2021-09	3.34	139191.5	
2021-10	3.59	126022	
2021-11	3.65	123287.33	
2021-12	3.19	143331.67	
2022-01	3.13	139772	
2022-02	2.9	141746	
2022-03	2.73	153769	
2022-06	2.52	160142	
2022-07	2.66	147555	
2022-08	2.49	148757	
2022-09	2.28	149242	
2022-10	2.23	151300	
2022-11	2.48	138658.5	
2022-12	2.65	126102.75	
2023-01	3.18	116474.67	
2023-02	3.26	124258.67	
2023-03	3.82	118173.5	
2023-04	4.36	116412	
2023-06	4.55	127395	
2023-09	3.4	148358	
2023-10	2.88	150060	
2023-11	2.84	169771	
2023-12	2.7	175080.67	
2024-03	3.2	270215.5	
2024-05	2.95	245792	
2024-06	3.1	211192	
2024-07	3.12	206458	
2024-09	2.66	223395	
