month	ct_avg_前复权价格	人均持股
1999-12	1.03	1711	
2000-12	1.63	977	
2001-12	0.67	898	
2002-06	0.63	991	
2002-09	0.6	1017	
2002-12	0.49	1028	
2003-03	0.47	1036	
2003-06	0.42	1052	
2003-09	0.42	1044	
2003-12	0.33	1069	
2004-03	0.49	1091	
2004-06	0.46	1096	
2004-09	0.39	1125	
2004-12	0.43	1122	
2005-03	0.39	1143	
2005-06	0.32	1167	
2005-09	0.33	1205	
2005-12	0.3	1210	
2006-03	0.33	1821	
2006-06	0.4	1901	
2006-09	0.4	1980	
2006-12	0.38	2103	
2007-03	0.58	3176	
2007-06	0.61	3454	
2007-09	0.93	3242	
2007-12	0.89	2765	
2008-03	1.09	2692	
2008-06	0.81	2660	
2008-09	0.44	2805	
2008-12	0.43	2898	
2009-03	0.6	3652	
2009-06	0.66	4249	
2009-09	0.63	4534	
2009-12	0.67	4963	
2010-03	0.74	5022	
2010-06	0.65	4812	
2010-09	0.68	5058	
2010-12	0.75	5193	
2011-03	0.81	5153	
2011-06	0.66	5321	
2011-09	0.58	5404	
2011-12	0.55	5114	
2012-03	0.58	5307	
2012-06	0.64	5355	
2012-09	0.56	5557	
2012-12	0.48	5664	
2013-03	0.58	5809	
2013-06	0.68	6081	
2013-09	1.24	8075	
2013-12	1.21	7680	
2014-03	1.37	7270	
2014-06	1.27	6249	
2014-09	1.49	6525	
2014-12	1.41	7150	
2015-03	1.41	7217	
2015-06	4.53	9123	
2015-09	2.89	7783	
2015-12	4.83	6691	
2016-03	2.88	5316	
2016-06	2.89	5974	
2016-09	3.02	6468	
2016-12	2.86	6283	
2017-03	2.76	6348	
2017-06	2.67	5372	
2017-09	2.86	5340	
2017-12	3.23	4205	
2018-03	3.29	5302	
2018-06	3.06	5034	
2018-09	2.9	6201	
2018-12	2.3	5963	
2019-03	2.99	5793	
2019-06	2.57	13242	
2019-09	3.29	31811	
2019-12	2.88	30111	
2020-03	3.94	27335	
2020-06	3.88	25227	
2020-09	3.87	18907	
2020-12	2.85	15946	
2021-03	2.74	15467	
2021-06	2.98	18606	
2021-07	3.44	20083.5	
2021-08	3.6	19452	
2021-09	3.34	20554.5	
2021-10	3.59	22742.5	
2021-11	3.65	23227	
2021-12	3.19	20122.33	
2022-01	3.13	20497	
2022-02	2.9	20212.5	
2022-03	2.73	18600	
2022-06	2.52	17860	
2022-07	2.66	19383	
2022-08	2.49	19227	
2022-09	2.28	19164	
2022-10	2.23	18903	
2022-11	2.48	20651	
2022-12	2.65	22686.25	
2023-01	3.18	24567.67	
2023-02	3.26	23019.33	
2023-03	3.82	24214.5	
2023-04	4.36	24569	
2023-06	4.55	22450	
2023-09	3.4	19279.67	
2023-10	2.88	19060	
2023-11	2.84	16847	
2023-12	2.7	16336	
2024-03	3.2	10625.5	
2024-05	2.95	11636	
2024-06	3.1	13543	
2024-07	3.12	13853	
2024-09	2.66	12803	
