month	ct_avg_前复权价格	股东人数
2016-08	1.59	24628	
2016-09	4.66	13254	
2016-12	5.31	14659	
2017-03	6.11	16317	
2017-06	4.96	13364	
2017-09	7.06	15369	
2017-12	9.77	16095	
2018-03	11.11	21412	
2018-06	8.57	31081	
2018-09	7.94	35091	
2018-12	5.97	39276	
2019-03	8.61	30793	
2019-06	6.74	30995	
2019-09	12.77	29214	
2019-12	16.66	25321	
2020-03	24.17	52285	
2020-06	26.47	90654	
2020-09	21.62	119805	
2020-12	23.89	117506	
2021-03	20.74	113638	
2021-06	25.5	108839	
2021-09	25.14	146900	
2021-12	28.51	115055	
2022-03	25.47	122676	
2022-06	22.69	123983	
2022-09	17.81	150130	
2022-12	17.04	146206	
2023-03	18.08	149497	
2023-06	18.02	162065	
2023-09	16.63	150805	
2023-12	15.52	153546	
2024-03	12.67	167319	
2024-06	15.16	141466	
2024-09	11.71	162815	
