month	ct_avg_前复权价格	人均持股
2016-08	1.59	0	
2016-09	4.66	1886	
2016-12	5.31	1705	
2017-03	6.11	1532	
2017-06	4.96	3741	
2017-09	7.06	9587	
2017-12	9.77	9155	
2018-03	11.11	6881	
2018-06	8.57	6673	
2018-09	7.94	5910	
2018-12	5.97	5281	
2019-03	8.61	6735	
2019-06	6.74	6727	
2019-09	12.77	9689	
2019-12	16.66	11179	
2020-03	24.17	5414	
2020-06	26.47	4397	
2020-09	21.62	3488	
2020-12	23.89	3737	
2021-03	20.74	3865	
2021-06	25.5	5653	
2021-09	25.14	4193	
2021-12	28.51	5366	
2022-03	25.47	5033	
2022-06	22.69	5347	
2022-09	17.81	4418	
2022-12	17.04	4537	
2023-03	18.08	4437	
2023-06	18.02	4098	
2023-09	16.63	4404	
2023-12	15.52	4327	
2024-03	12.67	3971	
2024-06	15.16	4702	
2024-09	11.71	4083	
