month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2018-08	6.33	1.1	
2018-09	6.25	1.03	
2018-10	5.29	0.7	
2018-11	5.57	0.76	
2018-12	5.11	0.6	
2019-01	5.09	0.57	
2019-02	5.86	0.79	
2019-03	6.31	0.89	
2019-04	6.19	0.84	
2019-05	6.21	0.82	
2019-06	6.61	0.92	
2019-07	7.42	1.11	
2019-08	7.78	1.18	
2019-09	8.23	1.26	
2019-10	7.6	1.05	
2019-11	7.49	1	
2019-12	7.51	0.97	
2020-01	8.34	1.15	
2020-02	9.49	1.4	
2020-03	9.49	1.35	
2020-04	10.28	1.5	
2020-05	11.78	1.79	
2020-06	13.77	2.17	
2020-07	16.08	2.58	
2020-08	15.59	2.37	
2020-09	15.68	2.29	
2020-10	17.31	2.51	
2020-11	15.5	2.06	
2020-12	15.76	2.02	
2021-01	18.58	2.45	
2021-02	17.63	2.18	
2021-03	14	1.47	
2021-04	15.61	1.68	
2021-05	15.81	1.65	
2021-06	15.73	1.58	
2021-07	15.27	1.45	
2021-08	13.99	1.2	
2021-09	13.97	1.16	
2021-10	15.31	1.31	
2021-11	14.83	1.2	
2021-12	14.64	1.13	
2022-01	13.89	0.99	
2022-02	12.76	0.8	
2022-03	11.06	0.54	
2022-04	10.7	0.48	
2022-05	10.64	0.46	
2022-06	12.12	0.64	
2022-07	11.19	0.5	
2022-08	10.93	0.45	
2022-09	10.64	0.4	
2022-10	10.47	0.36	
2022-11	11.48	0.48	
2022-12	12.87	0.64	
2023-01	14.3	0.8	
2023-02	14.04	0.74	
2023-03	14.51	0.78	
2023-04	14.92	0.8	
2023-05	11.76	0.41	
2023-06	11.43	0.36	
2023-07	9.54	0.12	
2023-08	9.08	0.07	
2023-09	7.85	-0.08	
2023-10	6.58	-0.23	
2023-11	6.38	-0.25	
2023-12	5.67	-0.34	
2024-01	4.64	-0.46	
2024-02	3.95	-0.54	
2024-03	4.14	-0.52	
2024-04	3.4	-0.6	
2024-05	3.89	-0.55	
2024-06	3.38	-0.61	
2024-07	3.14	-0.63	
2024-08	3.21	-0.63	
2024-09	3.18	-0.63	
2024-10	4.63	-0.46	
2024-11	4.33	-0.5	
2024-12	4.06	-0.53	
2025-01	3.46	-0.6	
