month	ct_avg_前复权价格	人均持股
2017-11	2.15	1011	
2017-12	2.35	2377	
2018-02	1.71	2971	
2018-03	1.67	2971	
2018-06	2.6	4336	
2018-09	1.96	5011	
2018-12	2.05	17553	
2019-03	2.27	18020	
2019-06	1.98	19051	
2019-09	2.2	20914	
2019-12	3.24	17988	
2020-03	3.03	10896	
2020-06	4.1	15075	
2020-09	4.53	11373	
2020-12	4.62	22152	
2021-02	4.26	15321	
2021-03	3.84	18911	
2021-06	7.2	40291	
2021-09	10.07	30243	
2021-12	10.06	21519	
2022-03	8.15	24260	
2022-06	9.3	37233	
2022-09	7.37	28550	
2022-12	6.86	27106	
2023-03	5.92	20872	
2023-06	6.12	41026	
2023-09	5.59	42765	
2023-12	3.67	37398	
2024-03	3.35	31790	
2024-06	2.78	30171	
2024-09	2.06	29618	
