month	ct_avg_Tdx收盘价	股东人数
2017-11	51.3	63020	
2017-12	56.03	26799	
2018-02	43.45	21444	
2018-06	61.64	14692	
2018-09	46.29	12712	
2018-12	48.49	11002	
2019-03	53.77	10717	
2019-06	46.43	10137	
2019-09	51.62	9234	
2019-12	76.02	10759	
2020-03	71.06	17762	
2020-06	95.65	12838	
2020-09	105.82	17017	
2020-12	107.92	20014	
2021-02	99.45	28969	
2021-03	89.61	23470	
2021-06	119.57	17184	
2021-09	167.31	22893	
2021-12	167.09	32174	
2022-03	135.14	28570	
2022-06	76.93	37231	
2022-09	61.03	48555	
2022-12	56.79	51142	
2023-03	48.97	66474	
2023-06	34.72	49037	
2023-09	31.71	47067	
2023-12	20.82	53822	
2024-03	19.02	63372	
2024-06	15.68	70809	
2024-09	11.6	72132	
