month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2005-08	7.49	-93.13	
2005-09	6.84	-93.84	
2005-10	6.06	-98.44	
2005-11	5.72	-94.07	
2005-12	6.34	-73.7	
2006-01	6.54	-61.77	
2006-02	6.36	-63.97	
2006-03	6.44	-67.2	
2006-04	8.37	-3.71	
2006-05	10.01	19.59	
2006-06	11.68	39.04	
2006-07	13.76	57.82	
2006-08	11.79	48.52	
2006-09	13.65	79.82	
2006-10	17.82	91.81	
2006-11	18.8	88.88	
2006-12	27.78	96.43	
2007-01	35.7	98.75	
2007-02	36.06	93.69	
2007-03	40.34	95.79	
2007-04	48.18	95.18	
2007-05	33.41	67.33	
2007-06	41.66	77.93	
2007-07	42.67	83.28	
2007-08	50.92	95.69	
2007-09	50.58	86.47	
2007-10	59.91	97.62	
2007-11	50.72	75.57	
2007-12	50.74	62.23	
2008-01	55.38	81.05	
2008-02	56.29	85.89	
2008-03	45.3	34.52	
2008-04	34.6	-25.51	
2008-05	41.01	-26.52	
2008-06	31.42	-56.05	
2008-07	24.45	-76.83	
2008-08	16.71	-90.65	
2008-09	14.23	-92.07	
2008-10	13.9	-88.67	
2008-11	14.7	-86.37	
2008-12	16.24	-70.07	
2009-01	17.78	-55	
2009-02	22.04	-26.16	
2009-03	22.85	-7.99	
2009-04	24.49	16.33	
2009-05	26.59	28.78	
2009-06	26.82	38.76	
2009-07	32.09	58.5	
2009-08	32.26	61.57	
2009-09	32.38	63.16	
2009-10	35.8	83.43	
2009-11	37.2	88.9	
2009-12	35.94	76.28	
2010-01	34.51	69	
2010-02	31	29.76	
2010-03	32.1	20.85	
2010-04	32.09	19.94	
2010-05	27.47	-30.31	
2010-06	25.8	-42.11	
2010-07	20.66	-64.73	
2010-08	24.32	-64.08	
2010-09	27.56	-41.76	
2010-10	29.48	-11.66	
2010-11	22.2	-63.77	
2010-12	21.53	-77.56	
2011-01	20.45	-87.99	
2011-02	23.24	-69.64	
2011-03	26.79	-17.78	
2011-04	24.86	-0.3	
2011-05	17.12	-67.86	
2011-06	17.23	-76.19	
2011-07	18.1	-74.32	
2011-08	16.66	-92.66	
2011-09	15.24	-97.15	
2011-10	14.65	-95.59	
2011-11	14.12	-94.94	
2011-12	12.01	-97.65	
2012-01	13.13	-82.27	
2012-02	13.97	-65.76	
2012-03	13.82	-58.72	
2012-04	14.03	-54.83	
2012-05	14.51	-23.17	
2012-06	14.32	-7.71	
2012-07	12.38	-57.23	
2012-08	11.53	-82.34	
2012-09	9.45	-93.53	
2012-10	9.34	-90.97	
2012-11	8.88	-98.51	
2012-12	9.35	-81.55	
2013-01	10.48	-52.28	
2013-02	11.91	-20.54	
2013-03	10.69	-29.17	
2013-04	10.07	-43.65	
2013-05	9.45	-63.76	
2013-06	8.21	-76.79	
2013-07	7.09	-85.6	
2013-08	7.25	-81.49	
2013-09	7.76	-67.81	
2013-10	7.44	-76.69	
2013-11	7.09	-87.33	
2013-12	6.86	-86.65	
2014-01	5.95	-96.3	
2014-02	5.99	-89.4	
2014-03	5.68	-96.56	
2014-04	5.63	-91.75	
2014-05	5.28	-97.95	
2014-06	5.08	-98.71	
2014-07	5.23	-83.66	
2014-08	5.62	-52.99	
2014-09	5.72	-30.1	
2014-10	5.86	-6.7	
2014-11	6.32	20.09	
2014-12	8.67	52.17	
2015-01	8.85	67.5	
2015-02	8.11	67.44	
2015-03	8.94	81.61	
2015-04	10.74	93.41	
2015-05	10.93	89.29	
2015-06	12.12	91.5	
2015-07	7.61	35.06	
2015-08	7.73	13.44	
2015-09	6.7	-26.38	
2015-10	6.88	-38.66	
2015-11	6.94	-40.05	
2015-12	6.58	-67.7	
2016-01	5.56	-84.55	
2016-02	5	-88.63	
2016-03	5.51	-75.47	
2016-04	5.66	-70.09	
2016-05	5.07	-88.82	
2016-06	5	-90.49	
2016-07	5.25	-68.79	
2016-08	5.38	-49.88	
2016-09	5.49	-26.56	
2016-10	5.74	1.51	
2016-11	6.44	31.33	
2016-12	6.32	36.2	
2017-01	6.59	54.27	
2017-02	7.28	73.86	
2017-03	7.43	83.42	
2017-04	7.02	66.52	
2017-05	6.82	51.07	
2017-06	7.46	71.71	
2017-07	8.21	93.49	
2017-08	8.38	90.76	
2017-09	7.67	66.88	
2017-10	7.96	70.64	
2017-11	8.42	84.37	
2017-12	8.71	87.08	
2018-01	9.52	94.93	
2018-02	8.72	76.07	
2018-03	8.2	40.14	
2018-04	8.4	30.95	
2018-05	8.53	43.14	
2018-06	8.53	25.27	
2018-07	8.56	21.35	
2018-08	9.2	70.42	
2018-09	8.68	50.8	
2018-10	8.09	9.42	
2018-11	8.04	-27.84	
2018-12	8.37	-25.76	
2019-01	8.52	-28.25	
2019-02	9.96	41.01	
2019-03	12.02	86.39	
2019-04	12.86	94.05	
2019-05	12.06	80.94	
2019-06	12.73	88.21	
2019-07	13.45	94.6	
2019-08	13.61	89.49	
2019-09	14.41	95.62	
2019-10	14.36	89.34	
2019-11	14.31	82.44	
2019-12	15.82	97.2	
2020-01	17.05	95.31	
2020-02	16.58	90.8	
2020-03	17.11	87.22	
2020-04	19.12	96.81	
2020-05	19.55	92.26	
2020-06	19.02	84.24	
2020-07	21.12	94.22	
2020-08	21.41	91.75	
2020-09	23.91	98.54	
2020-10	26.46	95.87	
2020-11	28.25	97.36	
2020-12	32.26	98.25	
2021-01	40.78	98.17	
2021-02	43.86	97.02	
2021-03	37.7	77.44	
2021-04	32.59	49.91	
2021-05	29.67	23.36	
2021-06	28.96	4.93	
2021-07	26	-25.12	
2021-08	28.88	-20.17	
2021-09	27.12	-35.94	
2021-10	24.85	-54.97	
2021-11	22.35	-73.78	
2021-12	23.33	-73.29	
2022-01	23.26	-72.46	
2022-02	20.67	-92.02	
2022-03	17.94	-97.5	
2022-04	17.35	-94.36	
2022-05	16.35	-93.75	
2022-06	17.93	-74.74	
2022-07	18.52	-64.58	
2022-08	16.24	-85.95	
2022-09	15.18	-91.33	
2022-10	14.39	-90.51	
2022-11	15.5	-77.88	
2022-12	16.21	-57.22	
2023-01	16.84	-35.04	
2023-02	17.88	-5.04	
2023-03	17.72	10.87	
2023-04	16.97	5.45	
2023-05	15.81	-34.38	
2023-06	16.05	-38.08	
2023-07	17.04	-0.04	
2023-08	16.14	-9.32	
2023-09	16.4	-31.92	
2023-10	14.91	-64.02	
2023-11	14.15	-78.9	
2023-12	13.16	-90.61	
2024-01	13.3	-89.33	
2024-02	13.8	-76.66	
2024-03	14.14	-57.91	
2024-04	15.51	-19.06	
2024-05	16.85	20.63	
2024-06	15.99	26.55	
2024-07	15.95	36.22	
2024-08	15.59	24.76	
2024-09	16.28	42.62	
2024-10	18	78.62	
2024-11	18.06	83.84	
2024-12	16.68	59.82	
