month	ct_avg_前复权价格	人均持股
2021-05	1.1	821	
2021-06	2.97	1613	
2021-09	2.83	2293	
2021-12	2.78	1798	
2022-03	2.25	1805	
2022-06	2.28	4141	
2022-09	2.14	4821	
2022-12	2.72	7002	
2023-03	3.01	8017	
2023-06	2.62	16075	
2023-09	2.87	17790	
2023-12	2.84	18320	
2024-03	2.86	18583	
2024-06	3.47	45705	
2024-09	3.65	41886	
