month	ct_avg_Tdx收盘价	股东人数
2021-05	73.51	48732	
2021-06	197.87	24808	
2021-09	187.31	17451	
2021-12	183.86	22258	
2022-03	149.57	22162	
2022-06	149.09	18355	
2022-09	139.84	15765	
2022-12	177.59	10855	
2023-03	196.93	9481	
2023-06	170.06	9908	
2023-09	185.58	8953	
2023-12	183.44	8694	
2024-03	184.57	8571	
2024-06	222.33	8752	
2024-09	232.76	9550	
