month	ct_avg_前复权价格	股东人数
2021-05	1.1	48732	
2021-06	2.97	24808	
2021-09	2.83	17451	
2021-12	2.78	22258	
2022-03	2.25	22162	
2022-06	2.28	18355	
2022-09	2.14	15765	
2022-12	2.72	10855	
2023-03	3.01	9481	
2023-06	2.62	9908	
2023-09	2.87	8953	
2023-12	2.84	8694	
2024-03	2.86	8571	
2024-06	3.47	8752	
2024-09	3.65	9550	
