month	ct_avg_Tdx收盘价	人均持股
2021-05	73.51	821	
2021-06	197.87	1613	
2021-09	187.31	2293	
2021-12	183.86	1798	
2022-03	149.57	1805	
2022-06	149.09	4141	
2022-09	139.84	4821	
2022-12	177.59	7002	
2023-03	196.93	8017	
2023-06	170.06	16075	
2023-09	185.58	17790	
2023-12	183.44	18320	
2024-03	184.57	18583	
2024-06	222.33	45705	
2024-09	232.76	41886	
