month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2023-04	62.65	0.25	
2023-05	57.43	0.14	
2023-06	56.64	0.12	
2023-07	61.42	0.22	
2023-08	58.56	0.18	
2023-09	55.77	0.14	
2023-10	50.87	0.05	
2023-11	53.43	0.12	
2023-12	50.67	0.08	
2024-01	52.63	0.13	
2024-02	55.37	0.2	
2024-03	55.44	0.2	
2024-04	57.53	0.25	
2024-05	56.48	0.22	
2024-06	56.82	0.23	
2024-07	54.21	0.17	
2024-08	51.56	0.11	
2024-09	51.11	0.1	
2024-10	55.31	0.19	
2024-11	57.23	0.23	
2024-12	56.97	0.22	
2025-01	54.6	0.17	
2025-02	51.65	0.11	
