month	ct_avg_Tdx收盘价	股东人数
2003-03	20.19	12068	
2003-06	18.17	10943	
2003-09	16.7	10425	
2003-12	17.39	7624	
2004-03	34.37	5281	
2004-06	18.18	9190	
2004-09	15.86	8723	
2004-12	13.88	12279	
2005-03	15.62	8052	
2005-06	12.65	8089	
2005-09	16.29	5944	
2005-12	13.88	5622	
2006-03	13.25	10691	
2006-06	9.33	26004	
2006-09	8.59	26933	
2006-12	9.4	27928	
2007-03	11.89	33298	
2007-06	12.37	42720	
2007-09	12	44393	
2007-12	10.71	46236	
2008-03	10.78	43532	
2008-06	6.21	41272	
2008-09	3.92	40745	
2008-12	3.75	41574	
2009-03	5.13	42207	
2009-06	5.9	40236	
2009-09	6.42	37954	
2009-12	9.8	32582	
2010-03	14.13	39961	
2010-06	16.33	33598	
2010-09	23.59	33470	
2010-12	23.2	33869	
2011-03	21.57	33862	
2011-06	16.59	32610	
2011-09	14.08	31465	
2011-12	9.81	35873	
2012-03	12.08	46551	
2012-06	5.16	47282	
2012-09	4.2	48267	
2012-12	3.59	48596	
2013-03	4.72	58438	
2013-06	6.14	57670	
2013-09	6.24	59757	
2013-12	6.03	57601	
2014-03	7.42	53638	
2014-06	5.6	58513	
2014-09	6.34	58083	
2014-12	6.17	62519	
2015-03	7.28	60887	
2015-06	11.84	88067	
2015-09	5.85	75620	
2015-12	8.66	72201	
2016-03	5.68	75604	
2016-06	7.67	90949	
2016-09	6.85	83638	
2016-12	6.41	84541	
2017-02	6.2	81824	
2017-03	6.49	80091	
2017-05	6.29	77877	
2017-09	8	92550	
2017-12	14.6	151753	
2018-03	15.93	160460	
2018-06	12.5	159538	
2018-09	10.21	151715	
2018-12	8.87	142352	
2019-03	14.9	154574	
2019-06	16.5	150765	
2019-09	16.53	149713	
2019-12	16.05	138716	
2020-03	16.22	135123	
2020-06	14.54	151704	
2020-07	16.92	132495	
2020-09	17.24	133306	
2020-12	21.25	105639	
2021-02	25.4	124219	
2021-03	25.29	128470	
2021-06	47.05	196414	
2021-09	57.03	216137	
2021-12	58.22	240616	
2022-03	54.58	198407	
2022-06	46.86	218272	
2022-09	37.19	234829	
2022-12	35.44	227854	
2023-03	34.84	242327	
2023-06	30.63	245731	
2023-09	25.16	238126	
2023-12	22.9	234764	
2024-03	20.83	219732	
2024-06	18.17	224919	
2024-09	18.57	250227	
