month	ct_avg_Tdx收盘价	人均持股
2003-03	20.19	2154	
2003-06	18.17	2376	
2003-09	16.7	2494	
2003-12	17.39	3410	
2004-03	34.37	4923	
2004-06	18.18	5658	
2004-09	15.86	5961	
2004-12	13.88	4235	
2005-03	15.62	6458	
2005-06	12.65	6428	
2005-09	16.29	8748	
2005-12	13.88	12579	
2006-03	13.25	6615	
2006-06	9.33	5439	
2006-09	8.59	5252	
2006-12	9.4	6321	
2007-03	11.89	5908	
2007-06	12.37	4605	
2007-09	12	4431	
2007-12	10.71	4692	
2008-03	10.78	4983	
2008-06	6.21	5256	
2008-09	3.92	5324	
2008-12	3.75	9720	
2009-03	5.13	9574	
2009-06	5.9	10043	
2009-09	6.42	10647	
2009-12	9.8	12402	
2010-03	14.13	10112	
2010-06	16.33	12027	
2010-09	23.59	12073	
2010-12	23.2	11931	
2011-03	21.57	11933	
2011-06	16.59	12391	
2011-09	14.08	13796	
2011-12	9.81	12100	
2012-03	12.08	9325	
2012-06	5.16	18361	
2012-09	4.2	17987	
2012-12	3.59	17865	
2013-03	4.72	14856	
2013-06	6.14	15054	
2013-09	6.24	14528	
2013-12	6.03	15072	
2014-03	7.42	16186	
2014-06	5.6	19288	
2014-09	6.34	21472	
2014-12	6.17	19949	
2015-03	7.28	20483	
2015-06	11.84	14162	
2015-09	5.85	16493	
2015-12	8.66	17274	
2016-03	5.68	16496	
2016-06	7.67	13713	
2016-09	6.85	14911	
2016-12	6.41	14752	
2017-02	6.2	15242	
2017-03	6.49	15572	
2017-05	6.29	16015	
2017-09	8	13476	
2017-12	14.6	8218	
2018-03	15.93	7772	
2018-06	12.5	7817	
2018-09	10.21	8220	
2018-12	8.87	8761	
2019-03	14.9	8488	
2019-06	16.5	8703	
2019-09	16.53	8764	
2019-12	16.05	9459	
2020-03	16.22	9710	
2020-06	14.54	8649	
2020-07	16.92	9903	
2020-09	17.24	9842	
2020-12	21.25	12420	
2021-02	25.4	10562	
2021-03	25.29	10213	
2021-06	47.05	6680	
2021-09	57.03	6071	
2021-12	58.22	5453	
2022-03	54.58	6722	
2022-06	46.86	6110	
2022-09	37.19	6030	
2022-12	35.44	6215	
2023-03	34.84	5844	
2023-06	30.63	5763	
2023-09	25.16	5947	
2023-12	22.9	6032	
2024-03	20.83	6445	
2024-06	18.17	7399	
2024-09	18.57	6650	
