month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2013-03	10.94	39.29	
2013-04	10.44	-5.51	
2013-05	10.57	-28.21	
2013-06	10.28	-18.44	
2013-07	10.22	-49.51	
2013-10	16.66	37.39	
2013-11	26.07	93.28	
2013-12	25.6	89.08	
2014-01	34.35	98.98	
2014-02	46.89	98.44	
2014-03	42.19	88.01	
2014-04	34.08	72.12	
2014-05	37.37	76.49	
2014-06	42.98	88.7	
2014-07	46.35	88.82	
2014-08	43.94	78.7	
2014-09	44.98	80.82	
2014-10	45.44	83.18	
2014-11	39	38.75	
2014-12	45.55	53.95	
2015-01	45.4	56.43	
2015-02	52.68	90.62	
2015-05	73.41	93.42	
2015-06	51.6	67.86	
2015-07	36.52	30.36	
2015-08	36.46	12.81	
2015-09	29.78	-13.17	
2015-10	40.49	-3.15	
2015-11	47.72	10.59	
2015-12	50.76	45.07	
2016-01	36.6	-6.34	
2016-02	37.15	-36.25	
2016-03	35.03	-58.8	
2016-08	20.72	-73.96	
2016-09	19.06	-88.58	
2016-10	19.65	-84.13	
2016-11	18.92	-90.91	
2016-12	17.11	-98.29	
2017-01	16.79	-92.86	
2017-02	18.42	-73.66	
2017-03	20.95	-50.43	
2017-04	20.37	-44.59	
2017-05	22.96	-10.8	
2017-06	25.37	13.07	
2017-07	23.55	11.69	
2017-08	23.05	11.87	
2017-09	22.19	-6.58	
2017-10	23.48	25.47	
2017-11	21.54	1.06	
2017-12	20.91	-32.61	
2018-01	19.73	-54.99	
2018-02	19.74	-59.58	
2018-03	20.02	-59.66	
2018-04	15.51	-88.24	
2018-05	14.32	-94.2	
2018-06	12.34	-98.75	
2018-07	11.81	-92.73	
2018-08	10.51	-96.31	
2018-09	10.55	-89.29	
2018-10	10.24	-93.3	
2018-11	12.23	-53.29	
2018-12	11.29	-52.14	
2019-01	10.2	-75.33	
2019-02	12.31	-37.8	
2019-03	14.41	12.33	
2019-04	13.48	23.38	
2019-05	13.31	28.88	
2019-06	12.9	24.76	
2019-07	13.67	49.26	
2019-08	14.96	67.13	
2019-09	18.05	84.15	
2019-10	17.57	80.36	
2019-11	20.24	92.35	
2019-12	24.96	97.97	
2020-01	30	98.66	
2020-02	36.07	97.59	
2020-03	33.2	84.82	
2020-04	34.97	87.33	
2020-05	35.74	88.74	
2020-06	39.01	88.7	
2020-07	46.09	94.84	
2020-08	43.84	85.59	
2020-09	41.61	70.9	
2020-10	33.49	30.41	
2020-11	27.17	-5.78	
2020-12	28.8	-16.89	
2021-01	32.75	-13.88	
2021-02	29.63	-30.77	
2021-03	25.78	-49.03	
2021-04	22.18	-77.93	
2021-05	23.6	-77.53	
2021-06	25.22	-65.65	
2021-07	21.72	-85.23	
2021-08	17.95	-95.98	
2021-09	21.25	-78.39	
2021-10	22.7	-54.02	
2021-11	25.47	-19.2	
2021-12	24.92	-4.04	
2022-01	27.34	28.76	
2022-02	23.89	14.23	
2022-03	21.65	-31.19	
2022-04	22.5	-31.91	
2022-05	21.88	-52.58	
2022-06	21.9	-51.11	
2022-07	20.29	-68.54	
2022-08	19.83	-70.03	
2022-09	18.63	-81.25	
2022-10	14.95	-93.64	
2022-11	16.59	-82.67	
2022-12	17.36	-77.27	
2023-01	20.14	-38.06	
2023-02	22.35	0.45	
2023-03	24.54	29.93	
2023-04	28.91	55.59	
2023-05	30.19	67.59	
2023-06	33.49	89.47	
2023-07	28.85	72.36	
2023-08	26.01	44.72	
2023-09	21.89	0.76	
2023-10	20.5	-26.94	
2023-11	23.13	-23.86	
2023-12	22.13	-30.06	
2024-01	18.22	-65.46	
2024-02	17.99	-71.11	
2024-03	18.67	-72.53	
2024-04	16.9	-89.51	
2024-05	16.08	-92.5	
2024-06	13.58	-97.65	
2024-07	12.74	-96.82	
2024-08	13.23	-84.86	
2024-09	14.14	-68.33	
2024-10	16.68	-30.95	
2024-11	16.64	-13.22	
2024-12	16.57	2.64	
2025-01	14.7	-30.24	
