month	ct_avg_前复权价格	股东人数
2017-12	1.16	186041.5	
2018-03	1.3	51987	
2018-05	1.16	50000	
2018-06	1.08	48700.33	
2018-07	0.98	48000	
2018-08	0.78	46500	
2018-09	0.74	46459	
2018-10	0.62	45666.67	
2018-11	0.65	43666.67	
2018-12	0.65	42904.25	
2019-01	0.68	40333.33	
2019-02	0.8	37333.33	
2019-03	0.95	32950	
2019-04	1.02	30000	
2019-05	0.8	30333.33	
2019-06	0.79	29940.25	
2019-07	0.87	28333.33	
2019-08	0.84	28333.33	
2019-09	0.87	27985.33	
2019-10	0.83	28000	
2019-11	0.88	26000	
2019-12	1.01	23976.67	
2020-01	1.19	22500	
2020-02	1.29	21666.67	
2020-03	1.29	23518	
2020-04	1.18	21666.67	
2020-06	1.87	16771	
2020-09	2.36	20891	
2020-12	2.6	17370	
2021-03	2.89	21197	
2021-06	3.66	23508	
2021-09	2.85	26255	
2021-12	4.95	22514	
2022-03	4.27	22328	
2022-06	5.18	21454	
2022-09	5.1	31626	
2022-12	3.96	41199	
2023-03	3.72	42923	
2023-06	4.77	27320	
2023-09	4.95	23164	
2023-12	4.44	26348	
2024-03	4.01	32706	
2024-06	3.44	45110	
2024-09	3.4	33358	
