month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2020-01	1.19	85.27	
2020-02	1.29	87.9	
2020-03	1.29	83.16	
2020-04	1.18	74.28	
2020-05	1.65	94.84	
2020-06	1.87	97.68	
2020-07	2.42	98.52	
2020-08	2.46	90.43	
2020-09	2.36	81.41	
2020-10	2.39	81.7	
2020-11	2.68	91.92	
2020-12	2.6	86.65	
2021-01	3.68	98.62	
2021-02	3.67	89.52	
2021-03	2.89	64.48	
2021-04	3.32	77.21	
2021-05	3.64	90.13	
2021-06	3.66	87.33	
2021-07	3.88	90.06	
2021-08	3.4	58.2	
2021-09	2.85	7.1	
2021-10	3.31	8.31	
2021-11	4.17	57.47	
2021-12	4.95	87.73	
2022-01	4.96	90.32	
2022-02	4.38	73.83	
2022-03	4.27	62.07	
2022-04	3.81	24.48	
2022-05	4.35	44.69	
2022-06	5.18	77.51	
2022-07	5.88	89.2	
2022-08	5.95	85.25	
2022-09	5.1	61.9	
2022-10	4.33	19.76	
2022-11	4	-12.5	
2022-12	3.96	-33.36	
2023-01	4.25	-28.24	
2023-02	4.33	-24.29	
2023-03	3.72	-58.42	
2023-04	3.86	-61.89	
2023-05	3.71	-74.78	
2023-06	4.77	-25.18	
2023-07	5.57	33.16	
2023-08	5.2	45.77	
2023-09	4.95	46.16	
2023-10	4.41	17.91	
2023-11	4.51	6.98	
2023-12	4.44	-5.06	
2024-01	3.7	-48.94	
2024-02	3.21	-62.31	
2024-03	4.01	-46.98	
2024-04	4.4	-16.7	
2024-05	3.76	-59.91	
2024-06	3.44	-84.12	
2024-07	3.34	-83.23	
2024-08	3.14	-90.83	
2024-09	3.4	-74.53	
2024-10	4.27	-13.49	
2024-11	4.57	23.21	
2024-12	4.13	25.77	
2025-01	3.74	-3.13	
2025-02	4.45	30.36	
