month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2021-08	0.45	-84.72	
2021-09	0.47	-66.43	
2021-10	0.45	-80.86	
2021-11	0.43	-86.93	
2021-12	0.43	-81.72	
2022-01	0.44	-67.62	
2022-02	0.43	-75.5	
2022-03	0.4	-87	
2022-04	0.38	-89.1	
2022-05	0.38	-84.87	
2022-06	0.4	-67.01	
2022-07	0.39	-70.88	
2022-08	0.4	-54.27	
2022-09	0.39	-54.63	
2022-10	0.39	-53.96	
2022-11	0.41	-7.75	
2022-12	0.43	20.05	
2023-01	0.43	37.72	
2023-02	0.45	59.73	
2023-03	0.5	79.62	
2023-04	0.54	85.9	
2023-05	0.53	81.29	
2023-06	0.52	80.09	
2023-07	0.54	87.71	
2023-08	0.54	84.2	
2023-09	0.51	47.9	
2023-10	0.46	5.52	
2023-11	0.43	-27.52	
2023-12	0.4	-51.57	
2024-01	0.41	-60.92	
2024-02	0.43	-51.21	
2024-03	0.5	-9.78	
2024-04	0.53	27.63	
2024-05	0.53	38.97	
2024-06	0.54	56.02	
2024-07	0.57	68.09	
2024-08	0.55	61.93	
2024-09	0.49	13.68	
2024-10	0.61	69.99	
2024-11	0.63	87.71	
2024-12	0.61	78.9	
2025-01	0.55	44.54	
2025-02	0.55	29.46	
