month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2015-10	1.51	0.78	
2015-11	1.67	0.96	
2015-12	1.68	0.95	
2016-01	1.45	0.69	
2016-02	1.4	0.63	
2016-03	1.48	0.7	
2016-04	1.51	0.74	
2016-05	1.6	0.82	
2016-06	1.63	0.83	
2016-07	1.73	0.92	
2016-08	1.84	1.02	
2016-09	1.79	0.95	
2016-10	1.78	0.91	
2016-11	1.88	1	
2016-12	1.92	1.02	
2017-01	1.95	1.01	
2017-02	2.05	1.09	
2017-03	2.05	1.05	
2017-04	1.96	0.94	
2017-05	1.81	0.76	
2017-06	1.89	0.82	
2017-07	1.98	0.89	
2017-08	1.94	0.81	
2017-09	1.99	0.84	
2017-10	1.97	0.81	
2017-11	1.98	0.8	
2017-12	1.95	0.76	
2018-01	2.17	0.94	
2018-02	2.32	1.05	
2018-03	2.14	0.86	
2018-04	2.02	0.74	
2018-05	2.1	0.79	
2018-06	1.96	0.66	
2018-07	1.91	0.61	
2018-08	1.88	0.57	
2018-09	1.89	0.56	
2018-10	1.9	0.56	
2018-11	1.84	0.5	
2018-12	1.74	0.4	
2019-01	1.73	0.38	
2019-02	1.85	0.47	
2019-03	2.03	0.6	
2019-04	2.27	0.77	
2019-05	2.15	0.65	
2019-06	2.16	0.65	
2019-07	2.2	0.65	
2019-08	2.15	0.6	
2019-09	2.23	0.65	
2019-10	2.41	0.76	
2019-11	2.33	0.68	
2019-12	2.31	0.65	
2020-01	2.35	0.65	
2020-02	2.14	0.5	
2020-03	2.04	0.41	
2020-04	2.02	0.38	
2020-05	2.09	0.42	
2020-06	2.11	0.42	
2020-07	2.27	0.51	
2020-08	2.41	0.59	
2020-09	2.39	0.55	
2020-10	2.33	0.5	
2020-11	2.32	0.48	
2020-12	2.32	0.46	
2021-01	2.32	0.45	
2021-02	2.49	0.54	
2021-03	2.8	0.71	
2021-04	2.74	0.65	
2021-05	2.82	0.68	
2021-06	3.05	0.78	
2021-07	2.96	0.71	
2021-08	2.69	0.54	
2021-09	2.77	0.56	
2021-10	2.91	0.63	
2021-11	2.79	0.54	
2021-12	2.69	0.47	
2022-01	2.86	0.55	
2022-02	2.98	0.59	
2022-03	3.01	0.58	
2022-04	3.43	0.78	
2022-05	3.31	0.7	
2022-06	3.31	0.67	
2022-07	3.14	0.57	
2022-08	3.23	0.59	
2022-09	3.28	0.6	
2022-10	3.2	0.54	
2022-11	3.06	0.46	
2022-12	3.16	0.48	
2023-01	3.29	0.53	
2023-02	3.11	0.43	
2023-03	2.9	0.32	
2023-04	2.83	0.28	
2023-05	2.79	0.25	
2023-06	2.65	0.18	
2023-07	2.68	0.19	
2023-08	2.76	0.22	
2023-09	2.62	0.15	
2023-10	2.6	0.14	
2023-11	2.52	0.1	
2023-12	2.38	0.03	
2024-01	2.57	0.11	
2024-02	2.8	0.2	
2024-03	2.93	0.25	
2024-04	3.04	0.29	
2024-05	3.23	0.36	
2024-06	3.39	0.42	
2024-07	3.51	0.46	
2024-08	3.5	0.44	
2024-09	3.55	0.45	
2024-10	3.63	0.47	
2024-11	3.72	0.49	
2024-12	3.81	0.52	
2025-01	3.78	0.49	
