month	ct_avg_Tdx收盘价	人均持股
2007-03	33.84	188060	
2007-06	39.3	195553	
2007-09	55.69	200814	
2007-12	58.2	205688	
2008-01	50.98	8123	
2008-03	33.25	203762	
2008-06	26.75	204097	
2008-09	23.12	202679	
2008-12	19.69	194353	
2009-03	21.43	194612	
2009-06	25.95	196607	
2009-09	27.97	199999	
2009-12	31.05	203244	
2010-03	27.88	203316	
2010-06	24.44	202134	
2010-09	21.79	202426	
2010-12	22.5	204687	
2011-03	21.38	204428	
2011-06	18.52	203594	
2011-09	15.58	204428	
2011-12	17.46	205104	
2012-03	17.31	205978	
2012-06	17.41	206241	
2012-09	18.36	207125	
2012-12	19.21	208506	
2013-03	17.47	209847	
2013-06	14.94	210494	
2013-09	14.28	211529	
2013-12	15.47	214381	
2014-03	13.44	215069	
2014-06	14.05	216200	
2014-09	15.53	218569	
2014-12	26.27	221787	
2015-03	36.64	225442	
2015-06	34.57	240628	
2015-09	26.09	242037	
2015-12	28.8	242771	
2016-03	22.81	242842	
2016-06	20.93	243033	
2016-09	21.69	243877	
2016-12	24.45	245090	
2017-03	25.18	246748	
2017-06	27.54	248603	
2017-09	28.17	254443	
2017-12	31.25	258150	
2018-03	26.79	263190	
2018-06	23.92	264707	
2018-09	21.65	265614	
2018-12	21.32	266489	
2019-03	28.99	268208	
2019-06	27.17	269696	
2019-09	28.87	271764	
2019-12	33.93	273291	
2020-03	27.65	275008	
2020-06	27.86	275630	
2020-12	39.56	283993	
2021-03	32.34	287459	
2021-06	34.41	288664	
2021-09	30.8	291434	
2021-12	29.99	292787	
2022-03	26.75	294106	
2022-06	28.02	294630	
2022-09	30.8	296828	
2022-12	35.97	297969	
2023-03	34.71	300023	
2023-06	36.88	301653	
2023-09	36.76	303833	
2023-12	28.24	305367	
2024-03	29	307017	
2024-06	31.18	309147	
2024-09	35.69	311437	
