month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2018-04	5.36	0.51	-0.45	-91.96	-0.29	-91.82	
2018-05	5.18	0.5	-0.45	-91.44	-0.3	-90.55	
2018-06	4.25	0.41	-0.54	-98.12	-0.42	-97.63	
2018-07	3.76	0.36	-0.59	-94.89	-0.49	-93.99	
2018-08	3.63	0.35	-0.59	-94.37	-0.5	-94.25	
2018-09	3.47	0.33	-0.61	-95.35	-0.52	-93	
2018-10	3.06	0.29	-0.65	-97.67	-0.58	-96.48	
2018-11	3.56	0.34	-0.58	-75.12	-0.5	-73.94	
2018-12	3.66	0.35	-0.56	-60.31	-0.49	-57.81	
2019-01	3.42	0.33	-0.59	-71.67	-0.51	-68.26	
2019-02	3.6	0.35	-0.56	-59.52	-0.48	-58.1	
2019-03	4.29	0.41	-0.46	1.32	-0.38	1.36	
2019-04	4.5	0.43	-0.43	24.32	-0.35	24.96	
2019-05	3.7	0.35	-0.52	-7.86	-0.46	-8.75	
2019-06	3.56	0.34	-0.53	-34.77	-0.48	-32.94	
2019-07	3.46	0.33	-0.53	-45.23	-0.48	-42.86	
2019-08	3.2	0.31	-0.55	-52.19	-0.51	-55.24	
2019-09	3.38	0.32	-0.52	-48.08	-0.49	-54.42	
2019-10	3.2	0.31	-0.53	-64.14	-0.5	-68.35	
2019-11	3.04	0.29	-0.54	-76.83	-0.52	-75.13	
2019-12	3.1	0.3	-0.52	-70.74	-0.51	-73.29	
2020-01	3.19	0.3	-0.5	-64.79	-0.5	-64.12	
2020-02	2.91	0.28	-0.54	-89.95	-0.53	-81.79	
2020-03	3.33	0.32	-0.47	-45.9	-0.46	-39.04	
2020-04	3.13	0.3	-0.5	-40.82	-0.49	-35.42	
2020-05	2.97	0.29	-0.52	-69.99	-0.51	-60.17	
2020-06	2.95	0.28	-0.52	-82.32	-0.53	-70.76	
2020-07	3.18	0.31	-0.48	-40.98	-0.47	-32.22	
2020-08	3.25	0.31	-0.47	0	-0.47	10.63	
2020-09	3.33	0.32	-0.45	22	-0.45	32.22	
2020-10	3.23	0.31	-0.46	27.74	-0.46	32.37	
2020-11	3.44	0.33	-0.42	30.1	-0.42	30.95	
2020-12	3.82	0.37	-0.35	81.02	-0.34	64.63	
2021-01	5.1	0.49	-0.13	88.17	-0.12	84.11	
2021-02	3.97	0.38	-0.32	74.11	-0.32	71.13	
2021-03	4.26	0.41	-0.27	78.88	-0.27	77.29	
2021-04	4.15	0.4	-0.28	66.29	-0.27	64.24	
2021-05	4.18	0.4	-0.28	54.91	-0.27	56.35	
