month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2012-03	12.72	-0.15	
2012-04	13.07	-0.12	
2012-05	14.24	-0.04	
2012-06	13.94	-0.06	
2012-07	13.09	-0.11	
2012-08	12.55	-0.14	
2012-09	12.32	-0.15	
2012-10	12.25	-0.15	
2012-11	10.5	-0.27	
2012-12	11.21	-0.22	
2013-01	12.35	-0.15	
2013-02	13.17	-0.09	
2013-03	11.82	-0.18	
2013-04	11.49	-0.21	
2013-05	13.29	-0.08	
2013-06	12.41	-0.15	
2013-07	14.84	0.02	
2013-08	17.22	0.17	
2013-09	19.98	0.35	
2013-10	20.81	0.39	
2013-11	19.71	0.31	
2013-12	19.51	0.28	
2014-01	19.21	0.25	
2014-02	20.95	0.35	
2014-03	20.48	0.31	
2014-04	26.89	0.7	
2014-05	26.64	0.66	
2014-06	28.56	0.75	
2014-07	29.55	0.79	
2014-08	29.54	0.76	
2014-09	35.76	1.1	
2014-10	40.44	1.32	
2014-11	50.43	1.83	
2014-12	58.98	2.21	
2015-01	59.2	2.14	
2015-02	69.02	2.54	
2015-03	94.4	3.64	
2015-04	127.39	4.91	
2015-05	129.57	4.71	
2015-06	142.37	4.93	
2015-07	80.82	2.28	
2015-08	62.77	1.51	
2015-09	44.52	0.76	
2015-10	61.7	1.4	
2015-11	70.63	1.69	
2015-12	64.05	1.4	
2016-01	44.06	0.65	
2016-02	41.7	0.55	
2016-03	47.05	0.74	
2016-04	56.64	1.08	
2016-05	55.92	1.03	
2016-06	65.64	1.36	
2016-07	62.16	1.21	
2016-08	58.94	1.07	
2016-09	57.1	0.98	
2016-10	57.58	0.97	
2016-11	58.87	0.98	
2016-12	50.03	0.67	
2017-01	45.15	0.49	
2017-02	44.92	0.46	
2017-03	44.52	0.43	
2017-04	39.78	0.27	
2017-05	37.58	0.19	
2017-06	42.73	0.34	
2017-07	42.31	0.31	
2017-08	45.97	0.41	
2017-09	53.4	0.62	
2017-10	51.81	0.55	
2017-11	52.43	0.56	
2017-12	47.2	0.39	
2018-01	49.81	0.45	
2018-02	45.9	0.32	
2018-03	52.54	0.5	
2018-04	62	0.75	
2018-05	60.92	0.7	
2018-06	53.27	0.47	
2018-07	51.79	0.42	
2018-08	51.04	0.39	
2018-09	54.35	0.46	
2018-10	48.71	0.3	
2018-11	53.44	0.41	
2018-12	54.4	0.42	
2019-01	57.59	0.49	
2019-02	74.07	0.89	
2019-03	86.04	1.16	
2019-04	90.98	1.24	
2019-05	69.17	0.68	
2019-06	64.79	0.56	
2019-07	68.37	0.62	
2019-08	69.43	0.63	
2019-09	79.23	0.83	
2019-10	75.45	0.72	
2019-11	75.91	0.71	
2019-12	76.54	0.7	
2020-01	83.69	0.83	
2020-02	95.03	1.04	
2020-03	91.76	0.94	
2020-04	94.17	0.95	
2020-05	104.38	1.12	
2020-06	97.69	0.95	
2020-07	110.12	1.16	
2020-08	105.52	1.03	
2020-09	101.09	0.91	
2020-10	96.48	0.8	
2020-11	90.02	0.66	
2020-12	97.75	0.77	
2021-01	98.63	0.76	
2021-02	99.86	0.75	
2021-03	86.4	0.5	
2021-04	86.25	0.47	
2021-05	90.17	0.52	
2021-06	88.73	0.48	
2021-07	72.65	0.2	
2021-08	53.5	-0.12	
2021-09	55.23	-0.1	
2021-10	58.76	-0.05	
2021-11	60.55	-0.03	
2021-12	61.94	-0.01	
2022-01	59.59	-0.06	
2022-02	54.24	-0.15	
2022-03	47.82	-0.25	
2022-04	38.15	-0.4	
2022-05	36.93	-0.42	
2022-06	43.12	-0.33	
2022-07	42.2	-0.35	
2022-08	37.79	-0.42	
2022-09	33.93	-0.48	
2022-10	34.95	-0.46	
2022-11	41.19	-0.37	
2022-12	39.21	-0.4	
2023-01	43.8	-0.33	
2023-02	45.94	-0.3	
2023-03	46.65	-0.28	
2023-04	50.34	-0.23	
2023-05	43.86	-0.32	
2023-06	44.35	-0.31	
2023-07	39.13	-0.39	
2023-08	38.28	-0.39	
2023-09	33.4	-0.46	
2023-10	31.19	-0.49	
2023-11	32.01	-0.47	
2023-12	28.8	-0.52	
2024-01	24.54	-0.59	
2024-02	22	-0.63	
2024-03	24.13	-0.59	
2024-04	21.2	-0.64	
2024-05	20.81	-0.65	
2024-06	18.86	-0.68	
2024-07	17.08	-0.71	
2024-08	16.54	-0.71	
2024-09	17.08	-0.7	
2024-10	26.18	-0.54	
2024-11	30.19	-0.47	
2024-12	30.2	-0.46	
2025-01	25.9	-0.54	
2025-02	27.24	-0.51	
