month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2024-01	23.25	15.37	-0.57	-96.26	-0.22	-96.39	
2024-02	20.8	13.75	-0.62	-94.77	-0.31	-94.77	
2024-03	23.62	15.61	-0.56	-76.66	-0.22	-76.62	
2024-04	23.38	15.45	-0.55	-72.41	-0.23	-72.41	
2024-05	21.01	13.89	-0.59	-91.7	-0.31	-91.65	
2024-06	18.82	12.44	-0.62	-97.23	-0.38	-97.27	
2024-07	16.17	10.91	-0.67	-95.81	-0.46	-95.69	
2024-08	15.6	10.52	-0.68	-95.94	-0.48	-95.74	
2024-09	14.25	9.62	-0.7	-96.9	-0.53	-96.9	
2024-10	19.02	12.83	-0.6	-59.92	-0.37	-58.14	
2024-11	23.04	15.55	-0.5	-18.75	-0.24	-16.41	
2024-12	22.01	14.85	-0.51	1.46	-0.28	3.04	
2025-01	18.96	12.79	-0.58	-15.71	-0.38	-12.74	
