month	ct_avg_Tdx收盘价	股东人数
2015-02	35.77	25785	
2015-03	59.2	9602	
2015-06	99.37	7720	
2015-09	51.16	7296	
2015-12	109.54	7181	
2016-03	73.29	8192	
2016-06	36.87	13332	
2016-09	37.18	11777	
2016-12	33.02	12566	
2017-03	31.29	12195	
2017-04	28.65	12775.5	
2017-06	25.31	13247	
2017-07	23.93	12674	
2017-08	23.85	12599	
2017-09	26.52	12980.5	
2017-10	27.08	13638	
2017-12	22.97	13155	
2018-03	18.73	14101	
2018-04	20.15	15601	
2018-05	19.97	15470.5	
2018-06	17.9	14734.33	
2018-07	17.56	14232	
2018-08	18.78	13774	
2018-09	21.15	12370	
2018-10	23.37	13325.67	
2018-11	25.68	13976.33	
2018-12	24.66	14293	
2019-01	26.09	13663.67	
2019-02	31.17	13334.5	
2019-03	32.51	11766.75	
2019-04	32.48	12902.33	
2019-05	26.53	13394.33	
2019-06	27.07	15328.25	
2019-07	30.89	12923.33	
2019-08	32.42	13054.33	
2019-09	37.2	13977.67	
2019-10	36.7	14415	
2019-11	34.08	14633.67	
2019-12	35.91	13472.33	
2020-01	38.63	12613.5	
2020-02	42.92	11255.33	
2020-03	47.09	12755.67	
2020-04	46.78	11512.5	
2020-05	48.86	12515	
2020-06	51.03	13169	
2020-07	65.68	13040	
2020-08	67.79	13095	
2020-09	59.45	12679.33	
2020-10	58.89	14191	
2020-11	61.13	14177.5	
2020-12	53.65	14452.67	
2021-01	49.76	15838	
2021-02	44.52	15279	
2021-03	40.55	15535.67	
2021-04	41.73	16065	
2021-05	43.47	16641	
2021-06	44.19	17370	
2021-07	27.03	21379	
2021-08	30.33	26604	
2021-09	27.09	25648	
2021-10	25.41	25349.33	
2021-11	29.29	22236.33	
2021-12	33.98	16087	
2022-01	34.65	14412	
2022-02	35.16	15245	
2022-03	31.04	16369.67	
2022-04	22.93	17191.67	
2022-05	25.41	15571.67	
2022-06	27.65	14793	
2022-07	26.95	16150.67	
2022-08	33.53	13831.67	
2022-09	29.04	13797.33	
2022-10	27.79	14468.67	
2022-11	27.54	16041	
2022-12	25.45	16450.25	
2023-01	26.67	15470.5	
2023-02	37.07	18296.33	
2023-03	43.5	17130.33	
2023-04	62.4	22375	
2023-05	59.09	24915	
2023-06	93.82	28226	
2023-07	97.9	28051.67	
2023-08	92.74	31651	
2023-09	80.12	38759.67	
2023-10	82.55	45832	
2023-11	76.49	39964.67	
2023-12	92	33117.5	
2024-01	88.39	31452	
2024-02	117.05	40158.5	
2024-03	148.21	43663.75	
2024-04	159.34	45095.33	
2024-05	133.21	55166.33	
2024-06	92.73	58764.5	
2024-07	93.23	61872	
2024-08	84.38	63135	
2024-09	76.73	62087.33	
2024-10	115.77	50624.67	
2024-11	119.93	47108	
2024-12	103.01	62600.67	
2025-01	98.93	71540	
