month	ct_avg_前复权价格	股东人数
2015-02	1.16	25785	
2015-03	1.92	9602	
2015-06	3.24	7720	
2015-09	1.67	7296	
2015-12	3.57	7181	
2016-03	2.39	8192	
2016-06	3.02	13332	
2016-09	3.05	11777	
2016-12	2.71	12566	
2017-03	2.57	12195	
2017-04	2.35	12775.5	
2017-06	2.1	13247	
2017-07	1.99	12674	
2017-08	1.98	12599	
2017-09	2.2	12980.5	
2017-10	2.25	13638	
2017-12	1.91	13155	
2018-03	1.55	14101	
2018-04	1.68	15601	
2018-05	1.68	15470.5	
2018-06	1.51	14734.33	
2018-07	1.48	14232	
2018-08	1.58	13774	
2018-09	1.78	12370	
2018-10	1.97	13325.67	
2018-11	2.17	13976.33	
2018-12	2.08	14293	
2019-01	2.2	13663.67	
2019-02	2.63	13334.5	
2019-03	2.74	11766.75	
2019-04	2.74	12902.33	
2019-05	2.25	13394.33	
2019-06	2.31	15328.25	
2019-07	2.64	12923.33	
2019-08	2.77	13054.33	
2019-09	3.18	13977.67	
2019-10	3.14	14415	
2019-11	2.91	14633.67	
2019-12	3.07	13472.33	
2020-01	3.3	12613.5	
2020-02	3.67	11255.33	
2020-03	4.02	12755.67	
2020-04	4	11512.5	
2020-05	4.18	12515	
2020-06	4.39	13169	
2020-07	5.66	13040	
2020-08	5.84	13095	
2020-09	5.12	12679.33	
2020-10	5.08	14191	
2020-11	5.27	14177.5	
2020-12	4.62	14452.67	
2021-01	4.29	15838	
2021-02	3.84	15279	
2021-03	3.5	15535.67	
2021-04	3.6	16065	
2021-05	3.75	16641	
2021-06	4.16	17370	
2021-07	4.25	21379	
2021-08	4.76	26604	
2021-09	4.26	25648	
2021-10	3.99	25349.33	
2021-11	4.6	22236.33	
2021-12	5.34	16087	
2022-01	5.44	14412	
2022-02	5.53	15245	
2022-03	4.77	16369.67	
2022-04	3.6	17191.67	
2022-05	3.99	15571.67	
2022-06	4.39	14793	
2022-07	4.3	16150.67	
2022-08	5.34	13831.67	
2022-09	4.63	13797.33	
2022-10	4.43	14468.67	
2022-11	4.39	16041	
2022-12	4.06	16450.25	
2023-01	4.25	15470.5	
2023-02	5.91	18296.33	
2023-03	6.93	17130.33	
2023-04	9.95	22375	
2023-05	9.42	24915	
2023-06	15.04	28226	
2023-07	15.71	28051.67	
2023-08	14.88	31651	
2023-09	12.85	38759.67	
2023-10	13.24	45832	
2023-11	12.27	39964.67	
2023-12	14.76	33117.5	
2024-01	14.18	31452	
2024-02	18.78	40158.5	
2024-03	23.78	43663.75	
2024-04	25.56	45095.33	
2024-05	21.96	55166.33	
2024-06	20.99	58764.5	
2024-07	21.1	61872	
2024-08	19.1	63135	
2024-09	17.37	62087.33	
2024-10	26.29	50624.67	
2024-11	27.29	47108	
2024-12	23.44	62600.67	
2025-01	22.51	71540	
