month	ct_avg_前复权价格	股东人数
2010-08	1.08	40165	
2010-09	1.04	18430	
2010-12	0.87	20717	
2011-03	0.82	19092	
2011-06	0.7	20260	
2011-09	0.72	24689	
2011-12	0.58	26228	
2012-03	0.63	25771	
2012-06	0.67	24209	
2012-09	0.57	25724	
2012-12	0.47	25633	
2013-03	0.51	25514	
2013-06	0.58	23337	
2013-09	0.61	21417	
2013-12	0.6	20501	
2014-03	0.87	19009	
2014-06	0.84	20815	
2014-09	1.05	34746	
2014-12	0.96	40186	
2015-03	1.2	36212	
2015-06	1.66	35529	
2015-09	1.17	52212	
2015-12	3.06	65494	
2016-03	2.24	74028	
2016-06	3.52	102433	
2016-09	3.19	117803	
2016-12	3.01	98728	
2017-03	3.76	76755	
2017-04	4.4	70067.67	
2017-05	4.47	72454	
2017-06	4.45	65460	
2017-07	5.79	59831	
2017-08	7.21	58368	
2017-09	9.37	95333	
2017-10	9.21	92887	
2017-11	8.21	103260	
2017-12	7.44	106438	
2018-03	7.99	107300	
2018-04	7.11	123712.5	
2018-05	7.17	123906.5	
2018-06	6.25	160467	
2018-07	6.06	160980.5	
2018-09	4.7	179517	
2018-11	3.92	183390	
2018-12	3.89	90124	
2019-02	3.86	177044	
2019-03	4.55	92417	
2019-06	3.77	31	
2019-09	3.64	53679.33	
2019-10	3.56	159704	
2019-11	3.95	144638	
2019-12	4.96	140495.33	
2020-01	6.61	142900	
2020-02	8.72	142643.67	
2020-03	7.37	94551	
2020-04	6.85	148694.67	
2020-05	7.95	136955.33	
2020-06	8.41	82442.67	
2020-07	9.71	115740.67	
2020-08	8.8	131481.67	
2020-09	8.38	86348	
2020-10	9.59	105456	
2020-11	12.09	90516.33	
2020-12	14.25	58288	
2021-01	20.75	129339	
2021-02	19.86	144518	
2021-03	15.83	105200.33	
2021-04	15.89	165908	
2021-05	18.11	169277	
2021-06	19.76	116256	
2021-07	26.71	138455	
2021-08	29.92	149407.67	
2021-09	29.01	105418.67	
2021-10	26.99	180415.67	
2021-11	26.4	220437.33	
2021-12	24.12	165605.33	
2022-01	21.15	239815.33	
2022-02	22.92	224627.5	
2022-03	21.19	217646.67	
2022-04	18.17	221306	
2022-05	18.6	213354	
2022-06	21.92	35	
2022-07	22.89	283487.33	
2022-08	20.58	310775	
2022-09	18.48	210127	
2022-10	17.63	313326	
2022-11	19.07	310821.67	
2022-12	17.41	206206.33	
2023-02	17.4	340223	
2023-03	15.56	172031.5	
2023-04	15.13	343245.5	
2023-05	14.79	330958	
2023-06	14.3	162884	
2023-08	12.19	315020.5	
2023-09	10.75	210280.67	
2023-10	10.38	332953	
2023-11	9.95	333097	
2023-12	9.31	159553.5	
2024-01	9.48	327347.5	
2024-02	8.15	319358.5	
2024-03	8.93	235128.25	
2024-04	8.69	319373	
2024-05	8.11	310056.5	
2024-06	7.19	205879.67	
2024-07	6.58	301718.33	
2024-08	6.38	300444	
2024-09	6.46	45	
2024-10	7.79	312892	
2024-11	9.45	319934.5	
2024-12	9.06	296395	
2025-01	8.15	290724	
