month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2015-07	8.97	0.56	
2015-08	7.12	0.24	
2015-09	6.1	0.08	
2015-10	6.32	0.12	
2015-11	7.35	0.31	
2015-12	7.48	0.34	
2016-01	6.19	0.12	
2016-02	5.59	0.02	
2016-03	5.91	0.09	
2016-04	5.98	0.11	
2016-05	5.63	0.05	
2016-06	5.63	0.06	
2016-07	5.92	0.12	
2016-08	6.26	0.19	
2016-09	6.04	0.14	
2016-10	6.05	0.15	
2016-11	6.42	0.21	
2016-12	6.68	0.26	
2017-01	6.82	0.28	
2017-02	6.94	0.3	
2017-03	6.74	0.26	
2017-04	6.39	0.18	
2017-05	5.99	0.11	
2017-06	6.16	0.13	
2017-07	6.6	0.21	
2017-08	6.47	0.18	
2017-09	6.42	0.17	
2017-10	6.35	0.16	
2017-11	6.21	0.13	
2017-12	6.26	0.14	
2018-01	6.92	0.26	
2018-02	7.22	0.31	
2018-03	6.65	0.2	
2018-04	6.4	0.16	
2018-05	6.61	0.2	
2018-06	6.24	0.14	
2018-07	5.97	0.09	
2018-08	5.88	0.07	
2018-09	5.86	0.07	
2018-10	5.8	0.06	
2018-11	5.75	0.05	
2018-12	5.54	0.01	
2019-01	5.49	0	
2019-02	5.92	0.08	
2019-03	6.43	0.17	
2019-04	6.42	0.17	
2019-05	5.87	0.07	
2019-06	5.94	0.08	
2019-07	5.92	0.07	
2019-08	5.61	0.02	
2019-09	5.73	0.04	
2019-10	6.11	0.1	
2019-11	6.15	0.11	
2019-12	6.08	0.09	
2020-01	6.05	0.08	
2020-02	5.57	0	
2020-03	5.36	-0.04	
2020-04	5.13	-0.09	
2020-05	5.08	-0.1	
2020-06	5.08	-0.1	
2020-07	5.46	-0.03	
2020-08	5.26	-0.07	
2020-09	5.11	-0.1	
2020-10	5.18	-0.08	
2020-11	5.16	-0.09	
2020-12	5.14	-0.1	
2021-01	5.14	-0.1	
2021-02	5.29	-0.08	
2021-03	5.32	-0.07	
2021-04	5.33	-0.07	
2021-05	5.28	-0.08	
2021-06	5.18	-0.1	
2021-07	5.01	-0.13	
2021-08	4.59	-0.2	
2021-09	4.66	-0.19	
2021-10	4.61	-0.2	
2021-11	4.51	-0.22	
2021-12	4.56	-0.21	
2022-01	4.7	-0.19	
2022-02	4.75	-0.18	
2022-03	4.67	-0.2	
2022-04	5.05	-0.13	
2022-05	4.65	-0.2	
2022-06	4.74	-0.19	
2022-07	4.66	-0.2	
2022-08	4.33	-0.26	
2022-09	4.59	-0.21	
2022-10	4.55	-0.22	
2022-11	4.66	-0.2	
2022-12	4.99	-0.15	
2023-01	5.06	-0.14	
2023-02	4.94	-0.16	
2023-03	5.3	-0.1	
2023-04	5.89	0.01	
2023-05	6.95	0.19	
2023-06	6.28	0.08	
2023-07	5.92	0.02	
2023-08	5.64	-0.03	
2023-09	5.67	-0.02	
2023-10	5.66	-0.02	
2023-11	5.42	-0.05	
2023-12	5.29	-0.07	
2024-01	5.71	0	
2024-02	6.36	0.12	
2024-03	6.3	0.11	
2024-04	6.77	0.19	
2024-05	7.06	0.24	
2024-06	6.67	0.17	
2024-07	6.5	0.14	
2024-08	6.39	0.12	
2024-09	6.09	0.06	
2024-10	6.76	0.18	
2024-11	6.7	0.17	
2024-12	6.98	0.21	
2025-01	6.72	0.17	
