month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2006-08	12.87	-0.42	
2006-09	12.83	-0.41	
2006-10	12.61	-0.41	
2006-11	14.1	-0.33	
2006-12	18.7	-0.1	
2007-01	27.42	0.33	
2007-02	26.07	0.28	
2007-03	25.09	0.24	
2007-04	32.48	0.61	
2007-05	26.14	0.31	
2007-06	31.39	0.58	
2007-07	30.25	0.53	
2007-08	33.49	0.69	
2007-09	38.37	0.94	
2007-10	45.49	1.29	
2007-11	37.94	0.91	
2007-12	41.3	1.09	
2008-01	43.17	1.19	
2008-02	37.45	0.9	
2008-03	31.34	0.59	
2008-04	24.93	0.27	
2008-05	25.71	0.31	
2008-06	19.32	-0.01	
2008-07	19.63	0.01	
2008-08	19.57	0.02	
2008-09	16.11	-0.16	
2008-10	13.49	-0.29	
2008-11	13.55	-0.28	
2008-12	15.2	-0.18	
2009-01	14.19	-0.23	
2009-02	16.26	-0.11	
2009-03	15.19	-0.16	
2009-04	16.28	-0.09	
2009-05	17.04	-0.03	
2009-06	18.57	0.06	
2009-07	22.72	0.31	
2009-08	22.63	0.32	
2009-09	22.63	0.33	
2009-10	22.5	0.33	
2009-11	25.56	0.53	
2009-12	29.95	0.8	
2010-01	30.39	0.83	
2010-02	28.9	0.73	
2010-03	27.96	0.67	
2010-04	28.03	0.66	
2010-05	25.14	0.49	
2010-06	25.51	0.5	
2010-07	25.84	0.52	
2010-08	30.08	0.76	
2010-09	33.11	0.92	
2010-10	35.14	1.01	
2010-11	37.82	1.13	
2010-12	36.63	1.04	
2011-01	32.98	0.82	
2011-02	33.64	0.83	
2011-03	32.53	0.75	
2011-04	31.63	0.69	
2011-05	33.29	0.76	
2011-06	34.83	0.82	
2011-07	37.69	0.94	
2011-08	38.75	0.97	
2011-09	37.67	0.88	
2011-10	36.44	0.8	
2011-11	36.99	0.8	
2011-12	34.62	0.67	
2012-01	31.61	0.51	
2012-02	32.98	0.55	
2012-03	35.35	0.64	
2012-04	34.5	0.59	
2012-05	34.48	0.57	
2012-06	32.55	0.47	
2012-07	35.62	0.59	
2012-08	35.09	0.55	
2012-09	33.55	0.47	
2012-10	34.09	0.47	
2012-11	30.56	0.31	
2012-12	26.46	0.12	
2013-01	27.1	0.14	
2013-02	25.3	0.06	
2013-03	23.62	-0.02	
2013-04	22.17	-0.09	
2013-05	23.26	-0.05	
2013-06	21.51	-0.13	
2013-07	19.78	-0.2	
2013-08	19.57	-0.21	
2013-09	18.65	-0.25	
2013-10	17.63	-0.3	
2013-11	16.52	-0.34	
2013-12	15.98	-0.37	
2014-01	14.93	-0.41	
